TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
갑자기 아기 강아지가 오게 됐어요,https://www.youtube.com/shorts/p_rrRnw55AQ,https://rr1---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1756823267&ei=g6q2aM66C7OV-dIP8qHimQc&ip=220.72.66.139&id=o-ACgOEPUWJmQFOnIsdEd1qN8pTJZolyAXKXWIn3sc5TXP&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801667%2C&mh=KO&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguelney&ms=au%2Conr&mv=m&mvi=1&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3940000&bui=AY1jyLP9nvJcs9kib93VlBhW4EPiYBeV9Y_l3HTT3xZezVaFqmuHg7OQYHVBjslL8N646Le0OGqZjxKF&spc=l3OVKYFQ9X69Eg50DRWdLRHIDPxa-FN36CS96ltSeacvhvozy-cEdSZzDXKwLuM1KA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=El-zmlzog0wQ1AtgTcvHYYEQ&rqh=1&gir=yes&clen=4203357&ratebypass=yes&dur=56.277&lmt=1740836559941099&mt=1756801296&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=tOcxw9CRV_HP6A&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAIqv4VO1RcPsp7vKjBFMuYkqyCkiXfU1Le592VMujK00AiATQiRLCZGrQqpEiOkGoThOUkzhBMe83ibxlaV65y3oiQ%3D%3D&sig=AJfQdSswRgIhANMogl6ofgowbxzuPqX_7sPX4t6wu8Ww0lqOQd-k0CTHAiEAtRP66rKCMeWnOqPGIe_mwgHOKG47nqQ4-qVQyvqcKSs%3D,Fun Picture · Lunatic Souls,2K,250,@jinzzazang
주인이 떠난다는 걸 알게 된 강아지 #동물 #강아지 #개,https://www.youtube.com/shorts/r5MH8ph1qls,https://rr8---sn-3u-bh2l6.googlevideo.com/videoplayback?expire=1756823269&ei=haq2aMzMDK-J1d8P-ZTR0QM&ip=220.72.66.139&id=o-AJrBE1DEHiFqZfiGX5DpzsJBThoOtaj9kEO29cLqgK6v&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801669%2C&mh=lO&mm=31%2C26&mn=sn-3u-bh2l6%2Csn-oguesndr&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3990000&bui=AY1jyLNWvfhuDKte2WPBQb5OO-JKhIi7RoEWMeTj7xLLRrXAxExKxvqOVxM_TYt7DGg4WEMg0IOjotmE&spc=l3OVKajVQn3brlikADK6EjFFxu4s5O6STixrpKwKGgPoJVWWCAlRILkD1Q_lpR9Xjg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=UH9gDPyVvBGnbsA-h7ubFoYQ&rqh=1&cnr=14&ratebypass=yes&dur=23.521&lmt=1755749130026126&mt=1756801296&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=Tz_D3se766TRfA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAP9Hr2HGKXqM_xKqaF_xOpOgsxcM5xUZCStflzDtUakjAiEAvf5hahwOXYffnHZtm7fz0n9XcE1x_A-gO7UD6muq0Ts%3D&sig=AJfQdSswRQIhAKkViPUhBoHNnjeiDh2uT8akbi7EEnN656TtXCqWT2FDAiBlF4FMSJ2KHmRGwZqIkZawrmYYf4vA1zYsMo2Su8myEA%3D%3D,#동물,10K,530,@foxs_hort
벌써 장마가 시작이래요! 강아지들도 준비,https://www.youtube.com/shorts/BrGJuV9kyXQ,https://rr7---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1756823269&ei=haq2aNxuh4zV3w_ptubADQ&ip=220.72.66.139&id=o-AGDNFxjZD-nbNOgjTCvJpuc3TCF4E9Dcd89RrzSNJgTZ&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801669%2C&mh=FY&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesn6y&ms=au%2Conr&mv=m&mvi=7&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3940000&bui=AY1jyLPDcV0xEm-gKpSMNvHzVALaV8fpSAogLfJxqusSm6bWNhGTzZaY_D_c2pQQrXo14Qe9bqt0xVv0&spc=l3OVKYeDjzvhHSEYgP1mdCB2I_zWeHrS0GMlLuP_DRmnmg-Rdq1dL-27YIxCpat6tg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=OsGAJ4b1VDss0n88NcCZWLYQ&rqh=1&gir=yes&clen=550057&ratebypass=yes&dur=7.317&lmt=1749690642311363&mt=1756801296&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=q8SmeI3oGf_iZw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAKc6oTlgeoHjib3R4UABTuDa2GS2tEqXWDeEPLtL64mxAiEA9qXtA4T2ppmEbUMplOru_bVoD4-tUChCqIJRaOI96io%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAM9s1kzJw6B6GZ8aBk8tdfynLKdFCdEIbne-ft33JnYzAiBc9OulakhUj4cxnxUH3eOhhTvFtVZscprd2s4OLOchkA%3D%3D,,7K,367,@sangsangEsang
명절에 재롱둥이가 나타났다,https://www.youtube.com/shorts/-GSf8ADDK_8,https://rr3---sn-3u-bh2ly.googlevideo.com/videoplayback?expire=1756823270&ei=hqq2aJr5HNmW1d8PnM-OwQM&ip=220.72.66.139&id=o-AHVNAr0MuUj_e7ELCjm51Y1R6I2lDGyQtR6LMaRbijsq&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801670%2C&mh=hV&mm=31%2C26&mn=sn-3u-bh2ly%2Csn-oguesn6k&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3846250&bui=AY1jyLN0uuwgcicmhPzDvU1VPzG1TBFvZXGoG7-fO3ife2e-h-Fs9eWaXvvNvn-QsFWol47JuX9GAQ09&spc=l3OVKWH3dtMBMaoGCH257qa_ZZKt0go8x853MH5tuTTmggtITMmlYTE1Vp2SlbiS4w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ZMxRh9gXpRU6AoZbmrPHXqMQ&rqh=1&gir=yes&clen=820318&ratebypass=yes&dur=10.944&lmt=1738871940296623&mt=1756801296&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=PPcypJJsT43opQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAK6Tlw-U_bp_Et6MfAnjTj2W0U84STnSvtcUkkZWurctAiEA2J70-9wcClZ2gE9Le1LHcP42syRVqYFc6VfHWeyYBis%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgXuVoTk8iwQ_MFQdCgIw5RnyqDIp0xgKclsXgKpqnsrUCIQCWls4vFjEOW7jvpPwvWncPt39Q-IYtt132lXRnd8DM5w%3D%3D,,14K,882,@sosimbamtol
강아지 성격 테스트 엄마 vs 아빠 반응 차이,https://www.youtube.com/shorts/OBLSDnvPVoY,https://rr6---sn-3u-bh2zl.googlevideo.com/videoplayback?expire=1756823270&ei=hqq2aKPhJ8ae-dIPyfWgkAY&ip=220.72.66.139&id=o-ALNttr9DxLqnkfOqbmLhuyHLQgGHpwAU1JGk6xSjdU8u&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801670%2C&mh=XU&mm=31%2C26&mn=sn-3u-bh2zl%2Csn-oguelnsr&ms=au%2Conr&mv=m&mvi=6&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3992500&bui=AY1jyLOzVU9_ln0RY_DS3Wqs_MzHT2HaMk0ioE2-0XRVaQPDQY76WuzlIiKfvU4OTrkEi9C64nX4Px3x&spc=l3OVKecmYxJQvdrXdPpWjtmPhx50dCHrx5MVMDYTJ5vvAgSST0B7RePINR_NauOcVA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=B3OQUlc4PZR-p_FJQ_l0cNsQ&rqh=1&gir=yes&clen=2524666&ratebypass=yes&dur=33.621&lmt=1752377056528851&mt=1756801296&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=eaREX_DJ5OZVtQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgTeSjs5PIcr4zbR2dwJwn9lZ1CzAYlNkvSN9tSGfTpPUCIHJFzmSIlecYP78N4KxdE9iUAiKOcRnwP_gIdtVuxyQg&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgVVY-bCr-TRT3micaGpsFqoeFjfVRUWrgQtmgFJtqUycCIQD1CofgJTASsTSvFuFFnOcYYJbPY6ivPWQwuiMsi6BB5w%3D%3D,,20K,301,@k_yanggaeng
흥!! 하고 삐지는 강아지,https://www.youtube.com/shorts/Y5X61fc1B0k,https://rr7---sn-3u-bh2sz.googlevideo.com/videoplayback?expire=1756823276&ei=jKq2aJXlAc2U1d8Prp3v8QU&ip=220.72.66.139&id=o-AHcR2RsgXRTsL65KGDWH0qBh_QN9NQz9SIW50mrtGxl4&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801676%2C&mh=za&mm=31%2C26&mn=sn-3u-bh2sz%2Csn-oguesnd6&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3690000&bui=AY1jyLPNF5KBD-zKn-Wg0fFg3hDaiuZkFqYH1uIg_-w-SFwsn2TNCBdUvStifqRGw6CzPQCnMJWXKctz&spc=l3OVKXUFpbGJGw9DcsY8SHYKQgVspdIxcmwXUKRDgwO38-h5fFlRWFLdhz4UuSTQXw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=-KV2LV0xuexCcZ_TP9PxinMQ&rqh=1&cnr=14&ratebypass=yes&dur=9.079&lmt=1747066337579560&mt=1756801296&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4530534&n=FsFBxlPlb3Mfzg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhALgfZbBIAL8Dw7_yC3qdFfpagGofFVdYFyYJW6khD9JKAiEA-O6A5i201CDGVZbPyG00sfn52L5dNeIkJ3icD_BccUE%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAJu-SK4CHlLjsFdztbYboT3NeBQEHkpPoofacUZwUIdQAiEAnjY9PZ8ZHg2Y9cGF42F7IM8DB95cm3d7AwY-cpaBJlQ%3D,,14K,82,@왈왈이정후루
아파트에서 강아지 키운다면? 추천 견종 TOP8,https://www.youtube.com/shorts/Cnrpnr0VVts,https://rr5---sn-3u-bh2se.googlevideo.com/videoplayback?expire=1756823283&ei=k6q2aIm6FaCJ1d8P1aiV2QQ&ip=220.72.66.139&id=o-ADTzaljixkroe9axpkBEMqnwCb8j5wRz0WNVDCskN20L&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801683%2C&mh=yH&mm=31%2C26&mn=sn-3u-bh2se%2Csn-oguelnzl&ms=au%2Conr&mv=m&mvi=5&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3867500&bui=AY1jyLMylfXrjC-Dz8eW-KTC9sWUwdPAICLrgnTnhDUQvrGGSGLTVouLGUemDadr86pES34DaGgFIxbF&spc=l3OVKQOmV-pYMqHN8nmFzvhS5H3_vjgcp48O6WOGCG52hXMrl1B1bdhCtT3xFN27Aw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=vMjd28w0yZrOgEqDBwU8VE4Q&rqh=1&gir=yes&clen=3941274&ratebypass=yes&dur=52.800&lmt=1742658706969638&mt=1756801296&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=u1vtkPDQ3ezhwA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgDg3dGJHSs5uJzvqFSLN667yP78Ri5DqCx_TXdyQkVQ4CIEIqQeNvvAuMyxcDID_Vcigyv_H2ew0iwuu4Sc9BSyFU&sig=AJfQdSswRQIhAIXMYSzkXEUr1M-Y16C0l7o_uxJSSoUdxPNxs08Xctm6AiBp2y3dO0OnXxR-MUwuJGtX0goGpLwc7GG8kyYpBdbuoQ%3D%3D,Humorous Breezes · Rhymora Music,10K,236,@강아지탑텐
2년 전에 잃어버린 강아지를 우연히 길에서 마주쳤을 때..,https://www.youtube.com/shorts/mKNxNQJn_I8,https://rr7---sn-3u-bh2sd.googlevideo.com/videoplayback?expire=1756823279&ei=j6q2aNHOGsjk1d8PtrrCwAM&ip=220.72.66.139&id=o-ACUns9ve86-HA9YWDiVbjxRXANTM_5Ruek7JLdpJngxV&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801679%2C&mh=qO&mm=31%2C26&mn=sn-3u-bh2sd%2Csn-oguelnzr&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4036250&bui=AY1jyLM2bpgY-TD7Z-RwckvaCSlne3sqQCRsI1cHvIX82bXnbaRGgUJOUQgPmR1yI7oE2ByEzQg0pmpl&spc=l3OVKSl9W56LHN_X12fqLJb41qZwTlDhK5Iiid_BYqwg0C5y8SfsoKthyrXdZhCgQg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=tpFVQ5oYmdBoayT7teS0NEMQ&rqh=1&gir=yes&clen=2253954&ratebypass=yes&dur=30.314&lmt=1756462915641011&mt=1756801296&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=LJKw-i5YcWK7gw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgTiRQAQT9RZie1mSQffBACZj3MFNHGRSyKjzH5hjMngcCIQCpzeBdIIjWPzGrNjJjmp-2dXVk1KUEQBDxHzRT-Hy-4Q%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAN2PkqoYh4hRuqX5tGYK-YZx8VODBnFB0SEqugWJPoUVAiEAlMzfHr-tC407otOxJK4sFh-fcFmSja4uavdAmK6jBjw%3D,,17K,668,@AnimalTycoon
방귀 들키니깐 눈치 보다가 이젠 참지도 않음ㅋㅋㅋ#강아지 #dog #유머,https://www.youtube.com/shorts/E7mcMjgMWrQ,https://rr4---sn-3u-bh2sz.googlevideo.com/videoplayback?expire=1756823286&ei=lqq2aN_2I6rB1d8PmdeIsQM&ip=220.72.66.139&id=o-AI6AvJUByNuG7rFGFqCe4zPLSajId0slZxF48uk-DAA5&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801686%2C&mh=Y8&mm=31%2C26&mn=sn-3u-bh2sz%2Csn-oguesn6y&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3690000&bui=AY1jyLNYf6RywQzwAi_cVy1xnNcWCbleZjyTf438RuN6-o7F68ZkmBxWjbksZIbd0fGPpiArcjPKgoy7&spc=l3OVKU-gOfY-SCBE6coaLLt75X0-mi_8B2-2hdP00zAppAUXxeSY9s1dAi2uEnDRjQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=QDhlVHCIL7UqnZpVuSRlpLYQ&rqh=1&gir=yes&clen=1183737&ratebypass=yes&dur=15.637&lmt=1756040391507398&mt=1756801296&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=NtD5YAh6dpoJUA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhALlwo9DkpB46B1ULuCLGigO21YizlooldqqSkMfmW4_AAiAM8yM8wlVT-9K8ZX9bFK-tNHC3BcVBZJXbOh6fw67JoA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAKwMasHLDDs898Vrkvn1EKeaTnvHty13dUVyMJm3mQNoAiEAjglgW1M_S2n18JbDfFNYEmGtVatkkE97UpxlsVqvurg%3D,#강아지,7K,80,@숏동물원
짖는 법을 헷갈린 새끼강아지 #동물 #강아지 #개,https://www.youtube.com/shorts/Vf5YRvBdCW4,https://rr4---sn-3u-bh2sk.googlevideo.com/videoplayback?expire=1756823288&ei=mKq2aPmoHYrH1d8P7v_zsQU&ip=220.72.66.139&id=o-AO4kqlwoRoVPLIBANupqOMq-coKGntRMpuMgFrltH6Q9&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801688%2C&mh=Nf&mm=31%2C26&mn=sn-3u-bh2sk%2Csn-oguesn6d&ms=au%2Conr&mv=m&mvi=4&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3631250&bui=AY1jyLOGaxK9Iy69KU11qWN33MY27KDOO-FzE0kRTDuOvzRTw9xJCge_ALXZhWIH2te9hm1LtNw289KY&spc=l3OVKbN5QkHF9kQShHc0jlLoIz1z2zsZGiha35XzjAgD7H2i0y3HqbPYDXtTQ5xm-g&vprv=1&svpuc=1&mime=video%2Fmp4&ns=AW-ZP_zeE4SBYerZviiXzxgQ&rqh=1&gir=yes&clen=786215&ratebypass=yes&dur=10.560&lmt=1738584015450474&mt=1756801296&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=vdLIQtGhvPJ81w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgGMMoDaXQv_kfpSTYmpCodaBhr_DCdFK3ajFuqf2EXQsCIEWuc6VffiOxWyrosS7qHrBItI1B42rhdpbcIZjMyonl&sig=AJfQdSswRQIhAPRu5ySpJ5709f8t1iIFbqIuugtSAlMnWB6o9jJf8u0WAiB8LAVtTZhh6L7Y2iAj7XDeJksXWkuAsYwyLfmL13oNgQ%3D%3D,#동물,15K,978,@1min_funraccon
