TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
영어와 힌디어로 빠른 답장! 🇮🇳 | 힌디어 번역으로 일상 영어 구문 배우기 ✨,https://www.youtube.com/shorts/y6gBekzTdyU,https://rr7---sn-ab02a0nfpgxapox-bh2zs.googlevideo.com/videoplayback?expire=1756894540&ei=7MC3aPabEdKKpt8PvpqYsAg&ip=1.209.175.55&id=o-ALyydzDawpB0QQ5ZBDo6zV791P6QI_xpcKRQKo1ORYU2&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872940%2C&mh=Vg&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zs%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=7&pl=24&rms=au%2Cau&ctier=L&pcm2=no&initcwndbps=1681250&bui=AY1jyLPTsQMwL7Uc5ohQIWAtfJyQfsuYfwZxyfnnGKoh0bfPP_iUl-noA52-rV9iKzNvWFsV3drlTXnA&spc=l3OVKVZo_Dx3Qi9NqHf0T9_AmDXsiIrH5qmNDz4Jlb9WkMiFJOZRhe5Jgtxw6emjmQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ZePYKoVXbguMMidlqR3d5NQQ&rqh=1&gir=yes&clen=723676&ratebypass=yes&dur=15.701&lmt=1756633957891391&mt=1756872594&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=AaLH8LT5hk_tmQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhANaL4-2tY8CkwS5sUp148U_h3fQ-sneSy1zKW85aG5fFAiAKXd5lbYv0uGBhEbu9j2alTgeOqI8_W20dVSIepkrjEg%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAMGgy6SGd3agY_IN5k3qvnj2NmQZu6Wq4kl2yPlirwDSAiB1JNBUHTTCdZJKD-v1WnzJDCvjjc81MHNATptGPT-zKQ%3D%3D,Two of Us · Saidbysed,8K,928,@pointblankenglish
"[힌디어 회화 표현] ""덜 맵게 해주세요!""를 힌디어로?!🥵🙏🏻",https://www.youtube.com/shorts/5SLs_3lHDfA,https://rr2---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756894540&ei=7MC3aKTYC76qpt8PuL6t4QY&ip=1.209.175.55&id=o-ABdH6_2BqvPeTNlDBc7euVHXo-BuqjUzcY4673MFkVZj&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872940%2C&mh=9B&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=2&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5293750&bui=AY1jyLPr32h8BawtVzEcdIMwCnrE19I8tVVyNEClXd_ay8CwXQuMGF3GZdFPJtMN8FNkT3IU2_fu7kH6&spc=l3OVKfqRbSjl4ExFd4sR5vsGMl5frARXXncXI_pfahdk6qWSfC_v8CnvAFvvEGSMUQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=tZoeMWzyPP_o9diHkuqKCwEQ&rqh=1&cnr=14&ratebypass=yes&dur=37.477&lmt=1756608515608512&mt=1756872594&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=wZRTUm1rFpu3yA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgJZ00oSmAdGPZih5-mfuqugcV8WF52o-cACFrBXwycT4CIC9F5UFWaOJ3L8uOKNDZqgnQysvhymiYmOS63gYEE1Pk&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgWWQyOvy9_zRE8a17fAvBUsEmDnmDnnZcJFKFa57UtdICIFEUwjqoez3FKNNapIiyd7hFcgPLiHW2siZbQJLTvdWj,,18K,821,@eck7687
힌디어의 지시대명사는 처음일거야,https://www.youtube.com/shorts/pL00Kz7bmuA,https://rr5---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756894540&ei=7MC3aMWTC5vbpt8PmN2rkAg&ip=1.209.175.55&id=o-APVPqolxVR41aI10CZLctb1dE_NRbFjEdTUi2WVD3T8C&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872940%2C&mh=sV&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=5&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=2167500&bui=AY1jyLOEleuQOtDxsz2Evh68Fr-Z3DXz850HNj6oHI7QGzny4x6T9ngf7E94TUlZ-FxeR_8sCjrrMGts&spc=l3OVKSycZ9zmpJwFe467I2QcjsLYh5guCmnexy6lLCSZ7qYUqj83ol-cYd4ObXWvXA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=wuvopmHbFjcHc6WSRDIYF9AQ&rqh=1&cnr=14&ratebypass=yes&dur=55.286&lmt=1658128889653033&mt=1756872594&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=JCErOvklmddh3w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgJ-2sNt6EyPBNjlXrRChPWco8W_RCaEmRSQVtrbvaSugCIQCWSCeR48GGfakSp6290nmkEek9v3JImYSLNqnbOyjrew%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAMCHAlN1Vg7YvxV-1NlEoN-DyxW9xfpd-2RaJsJN0ZLzAiEAyK37wXYA614tLpNSUWop0Bi9OW03aHOkoRU6206lx04%3D,,10K,203,@3sdong
인도(힌디어) 숫자 쉽게 세는법 강의,https://www.youtube.com/shorts/HEGD7yi5Crk,https://rr6---sn-ab02a0nfpgxapox-jwwe7.googlevideo.com/videoplayback?expire=1756894540&ei=7MC3aJXLCteppt8PrvOEuQs&ip=1.209.175.55&id=o-AASLi-rX3jnKFeJmW0_Q3DEGSXeKyaaaVKQhejwRmekb&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872940%2C&mh=vy&mm=31%2C26&mn=sn-ab02a0nfpgxapox-jwwe7%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=6&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6285000&bui=AY1jyLOvRrgAGzDIfhSZ9pG3Bz6qwgAPMGgZ2PDvRcj2nc5ucgVt9VitGqGfdaiyrGoxKAgJ8WmCGI-E&spc=l3OVKUkR_IlG2ZbQ-GJRIG0FuwQP64yJTI0gCJWes87elejLlBTz0IFxEuDiGaNNpg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=8UyLMFRmKEjvLvPg7D_GunMQ&rqh=1&cnr=14&ratebypass=yes&dur=45.000&lmt=1743111228762558&mt=1756872594&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=LOz2YyAVGV-Ubw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgFBZxez00F4S8jmVdlPXQur698w_KNXVk9f3lifZV1XQCIQCH911GWTnzyk3PHAYS2wt7jzk8CW8PsG-FeeYMG1W0sA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgZ6F2vxvecy6ybNPXBdxTVJIObdJugr58msUx7zaXV5cCIGvbnVw4UE_egCEBCL9NEGBXkjXLCfhTvFrGwWIZMagP,,12K,826,@조충현-CCH
힌디어 노래 힌디어에서 한국어 혼합🇮🇳❤️🇰🇷 #shorts #btslover 💜💜,https://www.youtube.com/shorts/WoFbb_P4cUo,https://rr8---sn-ab02a0nfpgxapox-bh2zz.googlevideo.com/videoplayback?expire=1756894543&ei=78C3aO6VCfKYvcAPn_uO0AE&ip=1.209.175.55&id=o-AIVs5g46ZgFh224hJrH-Lu2L1aoX-ItI_jmGRpdeI40I&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872943%2C&mh=HZ&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zz%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=8&pl=24&rms=au%2Cau&ctier=L&initcwndbps=1412500&bui=AY1jyLMquE8n1ALW6oNdTXmhsaFP1h_kmXq3sC_EMhV01xT2WRXVjzeIXb4iQLrcTaZKAwLwHSlq4POo&spc=l3OVKXMb755pYC8BXhyqnvntyLf1j05QmghQ60_Zp7sKYplF8dMYYawa1UXn8iM7xw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=Y6BMCNseYMPfi_j-cwJ855cQ&rqh=1&cnr=14&ratebypass=yes&dur=42.817&lmt=1660012905006216&mt=1756872594&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=YdzcftuXNzKpag&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgf8Rv-u9WAK9WBf9lLraTSn3a5gIN8pw__kR4gIEdkvgCIQC3qr8M4dl-mm048RAlmli72ubSJHIIuzjstlhveOPASg%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIge_2DJPwTCteyhOM64hH6c2bUROJOGU92W1EkSaDlQeICIQDCMgh76cF6P9p3rzjOfOwPJk7gmuyF4yQOy1DvExRj0Q%3D%3D,,8K,821,@kimyosuinindia5579
Hindi Tiktok 힌디어 틱톡,https://www.youtube.com/shorts/_wXplBXJP40,https://rr7---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756894553&ei=-cC3aKmXNIatpt8P3oCzsAY&ip=1.209.175.55&id=o-AIwnXDA4nbbfqXlXZ5b5O3qqMS1g6Ripys9Dwq6McrOf&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872953%2C&mh=yw&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=7&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5293750&bui=AY1jyLPdODSNS-ZacIaSRWvOFGV5AZGr0VlG2EpUTuuUCGh6FmhK5WOUYr4N_gA8xCpNMoi-3HMlDfXW&spc=l3OVKfiACI-nSgfnuZyan_iNHapY1fMVAlXK2dU9TYJFs2xBC8dmSivfzPiwvz5PdQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=DpIl3Wz3h_pPmqZqGfr3K2sQ&rqh=1&cnr=14&ratebypass=yes&dur=15.139&lmt=1661766095861336&mt=1756872594&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=elAo7IFc63a5Lg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAJUrbqGAAdfTn4jIrjGZ86QV7KDeDvUNWilSDUXQn1LOAiAnZnSaN8xrtwTwTAQXa0weX7g1hTg9tb7LMLE_4ArnBg%3D%3D&sig=AJfQdSswRQIgb2pZEBu5jX64JXRHbPEe241b_eLJmFEp2dqQN081SFUCIQC7NJTh6_lAeLxIHf-6fhlcq6HPEBi4NMWWtSaLWqYG-Q%3D%3D,Sona Kitna Sona Hai (Jhankar) · Udit Narayan & Poornima,3K,92,@worldtiktok6852
인도인을 만나면 어떻게 인사해야할까요?🤔,https://www.youtube.com/shorts/2R4ZEmGO6ZA,https://rr3---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756894549&ei=9cC3aJrMJteqpt8Pxr_x2Qw&ip=1.209.175.55&id=o-ADpxlo1Kd0XgjlUTrMqsVfHL3jAaqqyyg6IGEMakhEgt&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872949%2C&mh=lj&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=3&pl=24&rms=au%2Cau&ctier=L&initcwndbps=2167500&bui=AY1jyLOkwsYllUYM4g2xkK-gFFWPmg_IMWnjIKhcKuRPTTE_PcggEBjlwh2X1gG9OeF27ib5AHvjbb2a&spc=l3OVKdTyadMgW_1U58KAEI4ADfueeQsdga2h_JzV2HX6ZeNJM-dTDXtve_fAajsZ6w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=4YUSNt1JhxNEJx8egqASdgIQ&rqh=1&cnr=14&ratebypass=yes&dur=38.893&lmt=1697361613863977&mt=1756872594&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=oWqT-SsA-hdjfw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgHaNIWdly3ahNOgF3BvpZK1Pvumjsy4VwXgDoL7WRTvYCIQCQ3gNnA8mRNLKwWbqpfwLTGx12aAmHsDS71m7tCV26ew%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAOuE26xtpXEYoXaxj8uj6zz9WgH3VZJytBq969LYGIK0AiEA4fZDB0B5NOFk48sUx6xhQMkwx1OZcnbNZQbX4nUowO0%3D,,19K,845,@adraktv
인도여행 마법의 말 #hindi,https://www.youtube.com/shorts/E6nG1gxZJ_k,https://rr6---sn-ab02a0nfpgxapox-bh2z6.googlevideo.com/videoplayback?expire=1756894555&ei=-8C3aLTCG4Dppt8PxOz2-Aw&ip=1.209.175.55&id=o-ADnSEdsYeptXIIumwRWVpcCsGr-YsoW7-XkKhStpXIcL&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872955%2C&mh=cp&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2z6%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=6&pl=24&rms=au%2Cau&ctier=L&initcwndbps=7857500&bui=AY1jyLOQoIBVAIougmfckk8hyeHnHSiCQhGnLCYiX5D8dXJ_huckruTWfuKD1VcsyiUjiknCbIIMsdj_&spc=l3OVKYRXD4nFP2MlX2I6VyrekHZfmV92OQaQGfZyyjDEaEj_AdQOZG0PpWvUWZt1aw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=lwl1-uZ3kJgFp8XqzYCv0_AQ&rqh=1&cnr=14&ratebypass=yes&dur=9.822&lmt=1696420417359470&mt=1756872594&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=vWq9nfNjfvt8Mg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAP0NYcNlXhWcZ9pz_0F0MT1QFSIKLJ_xRVAMBafKowo2AiEAjXcA2uTwtUs_foEHCWUEyCzFmXm8DxZd8Ljt1UeqtGQ%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgavUAgleZsyGkogZMas1eStLIjd1ssnqQJGsmJRLEGbUCIQCudw4vSWU7Gj-SeS-o4TX-7MUKAnzLRs-EgXY2Tk_SAQ%3D%3D,#hindi,20K,802,@AngelinaleeTravel
Learning 한글,https://www.youtube.com/shorts/CHINLeA0N8Y,https://rr3---sn-ab02a0nfpgxapox-bh2zr.googlevideo.com/videoplayback?expire=1756894553&ei=-cC3aLvBNP3apt8P7K3TsQY&ip=1.209.175.55&id=o-AOisEMA38v-hAkQg45gkownzTBOAdbu-kmIMGIFmgSZ6&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872953%2C&mh=Ar&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zr%2Csn-un57enez&ms=au%2Conr&mv=m&mvi=3&pl=24&rms=au%2Cau&ctier=L&initcwndbps=1077500&bui=AY1jyLMIcjKKpeUS90UAuEVVJXLmVtBKjaapGJ0uzIq9JzMbHaZTMuf7g6I3pA4wo1P0MSX1XbjbwoIm&spc=l3OVKUnqGRKzooIE4oQBAzj8qQPkkTVLSwJVN_kro449ESMILmMUvjVz19kYiiRtDA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=JidGA49ILKBVlPiTqEOJ43gQ&rqh=1&cnr=14&ratebypass=yes&dur=40.170&lmt=1750166989750193&mt=1756872594&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=AdFr8A_2MJF_Tw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAL3MJpBzo8F7rxNrJy6DB2fNQO6pJHnpZiJDzWodaiRIAiEAmQndwHXEM8QdtsJqEqJ99NOuSFf6c9b52cAqtgkswGo%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwQwIfIhiflP1D9bMjcJ7i53QmV1Fudltsc3CDyFRVA553ZgIgZ5-0zxnsCy3hEquKzZMrveYHxXfLBkuMr73hHIVfjJc%3D,,20K,720,@sparr0w_v0id
#힌디어 नमस्ते! बच्चों के लिए अभिवादन गीत (हिंदी/अंग्रेजी) | Hindi & English Greetings! | 힌디어 인사말 동요,https://www.youtube.com/shorts/x9FMsnVS7Wk,https://rr2---sn-ab02a0nfpgxapox-bh2s6.googlevideo.com/videoplayback?expire=1756894555&ei=-8C3aMOYKsaOvcAPm4OKOQ&ip=1.209.175.55&id=o-AOAQu8mHGoWwXMcKT02JcLMnQR4zn8XSzUx5hWADuTvF&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872955%2C&mh=x2&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2s6%2Csn-un57sn7y&ms=au%2Conr&mv=m&mvi=2&pl=24&rms=au%2Cau&ctier=L&initcwndbps=4801250&bui=AY1jyLMCsU_RAPN3kdTbqK_PVEgcXQyUioLhFa_z8BvPXMiZ2vrNCBiKmnx5xX6x4I3B1RF9VMMuB0kP&spc=l3OVKazcRO7u5iLI3w3qMt682EN-x0q4WRD45thw7Hp00SvKTBaw2kRbnw8tRKVUwA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=EX8uPZO2BDECy2DNH1REO48Q&rqh=1&gir=yes&clen=3558502&ratebypass=yes&dur=130.124&lmt=1753944676901669&mt=1756872594&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=Sn0z4pyeNgsJ0A&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgNk-sm5tCvedzxVpK-foZj5E62Q8LnWnchTbsHV0g-qACIQDm2zab7uysoEDT_F9VRQYGUdp-B7h4AXAPYTpu8X10Rw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgNRgThhoD_CHttNIg9hNTzGZ1WVfB3B8kDDAmVpWy6FwCIH2FKBx7ExeibGAbM--aNE2_11f9XbVOjRnUbsfSJXOJ,,3K,244,@AniLango
