TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
재앙 같은 아이돌 의상 이슈 #kpop #shorts,https://www.youtube.com/shorts/HgdtcaA-w2M,https://rr8---sn-3u-bh2lr.googlevideo.com/videoplayback?expire=1754622441&ei=iRWVaNKMD4aJ29gPoZ7nsQk&ip=220.72.66.139&id=o-AL4gdh06_EuaYt05vGQ6JbFXmo9QlpzD1LZ1F5ZUB08z&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600841%2C&mh=x8&mm=31%2C26&mn=sn-3u-bh2lr%2Csn-oguesnds&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3736250&bui=AY1jyLODL4LQHqsDsE01giPd02PgSh0eNDN9BdZbvf6-9bmposxxCuLRu74HQTvsCGk2iOaKIjzCAXQ-&spc=l3OVKYPk6zyg-pmhW6XTPBR-LT9dtUL0ANL5ew_aRswogCtWmwa9AgG9dMHZaJxf8Q&vprv=1&svpuc=1&mime=video%2Fmp4&ns=M8Q4WBUHIct5NBCuncUHt70Q&rqh=1&gir=yes&clen=3117905&ratebypass=yes&dur=40.512&lmt=1739406913163253&mt=1754600466&fvip=3&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5430534&n=V_IgY-CosmiGng&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAKbF1wJ_E-NmiAsWLxC739ClIe7cIr-MjhObjWYUQpxlAiBOYR9tlgy-tGIAMxuq7Np2e0UxHom0bcA65FiHepu70Q%3D%3D&sig=AJfQdSswRgIhAJuNvg4pPkqZ6X3imQu-r142oUS98hBW01iKFzSiJJyfAiEAkmaxNUwteXOoMYmCiTZzbBqfBxzEaNhnWtOkNOYyq4E%3D,#kpop,11K,449,@아쮸
신세계 손녀 아이돌을 본 '기자들의 반응',https://www.youtube.com/shorts/iItmXHhR63o,https://rr3---sn-3u-bh2ly.googlevideo.com/videoplayback?expire=1754622442&ei=ihWVaPyaOeaZ29gP3LT1uA4&ip=220.72.66.139&id=o-AGpEPJas9-dTeAY3JGI6ktoaiqXnXbAON39YVKKsMlsA&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600842%2C&mh=ge&mm=31%2C26&mn=sn-3u-bh2ly%2Csn-oguesndl&ms=au%2Conr&mv=m&mvi=3&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3657500&bui=AY1jyLM75IkxFM21hhPXAsErLvHk7DsMLMuCS8NAWGzw62-p-LvjtkvKWoldecP1IVekuXEZgB_bT-D3&spc=l3OVKXpzdD9y7h3WZXpMvYWHXb6_tVIBcyvs3vzxOyUu-iJYdTuc4zIP3uN5Zp-EtQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=2-Vwq7W5bEYvUZLwLHgkDRMQ&rqh=1&gir=yes&clen=1928366&ratebypass=yes&dur=24.640&lmt=1753240287154879&mt=1754600466&fvip=4&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5430534&n=2g2aBj58IXQmGA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAOauBvOrEOwpNebu-FEdeAIwr72_zPYsCvUjS2gwJihtAiAYfumLIm_bzJSa0snzhuY8yW8H9N67DA6MNV70F5gT0g%3D%3D&sig=AJfQdSswRgIhAKgFOY0-Q0QtHHF8mlOO7EXW0ukaQZ4idPj0MwD3GfffAiEA426T2P7-uodCbSOztdvOpgsjpvd_5rPwnee2mKTxqVA%3D,WICKED · ALLDAY PROJECT,18K,402,@털어드림
최예나가 데뷔를 못할 뻔 했다고?,https://www.youtube.com/shorts/m8YKV1nWvQg,https://rr4---sn-3u-bh2sl.googlevideo.com/videoplayback?expire=1754622444&ei=jBWVaPrTDvrk29gPrrTlqQo&ip=220.72.66.139&id=o-AAOnZNviDBd-vOcQ_SLmqUmUJtkgqd8BdXVB3WWM4Xhk&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600844%2C&mh=EG&mm=31%2C26&mn=sn-3u-bh2sl%2Csn-oguelney&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3776250&bui=AY1jyLNH9RI9PqGKQQV9ohIYl8s3mMPxWhhacgtbYAKXZKxs5dinzw43zgIqrlFgEuFJG4aAOQ0iqfJU&spc=l3OVKYGRJBaUXS9HuirXAG0quoWvmUoy-JVSwCskxpbJ_SIW12zyuZ2BEF9JIBXydw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=NT_IMLZ30vhs1GIb38DR4GAQ&rqh=1&gir=yes&clen=3543838&ratebypass=yes&dur=47.466&lmt=1754257104347003&mt=1754600466&fvip=3&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=4430534&n=h2V1IQH2bGRFWg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgMJJ9p8BeKouEcDyOGFHKEbeIY1MwZFQKF7WjTQCjY6wCIAshYaljgXd_j4XWRBgUTmCL8jQWELo9KYq9Pm9OHUwA&sig=AJfQdSswRQIgDegD0tVS6ND56qrHMmreXpB_LzLBSHCh5xC1LNnuNn0CIQDeBdS80aozB_2nQC5x7YRi_lgNaOjkXhx9WasBsLwrCQ%3D%3D,Joyful Moments · Melodrix Music,14K,18,@아이돌_월드
“분명 좋았는데..”￼ 뮤비 조회수 폭락중인 아이돌 그룹,https://www.youtube.com/shorts/OboBnsgarg0,https://rr7---sn-3u-bh2z6.googlevideo.com/videoplayback?expire=1754622444&ei=jBWVaJiiEKSJ29gP7J-d4Ak&ip=220.72.66.139&id=o-AB6KlMSzVLrL5frDmRFTa10qUFPuVmF2-pkeyH_-zxcm&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600844%2C&mh=s4&mm=31%2C26&mn=sn-3u-bh2z6%2Csn-oguesndz&ms=au%2Conr&mv=m&mvi=7&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3841250&bui=AY1jyLM6ZU5gcVtG-xQHx-WmE9kL4AtLqIozu4rK_QiFhAmYfHc_NfYZvnG60aJeFfkYIv8lN1cBGvVU&spc=l3OVKZztdikkQy_dHY8KHiFqI7oNWNGEckUXElu2tVW0zIpNSGR80nMyZ1byzU9Ryw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=XKJHNvZccuUtkBH_CD6p-EEQ&rqh=1&gir=yes&clen=3790329&ratebypass=yes&dur=50.709&lmt=1751099400954457&mt=1754600466&fvip=2&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5430534&n=n6dH-TTglmA3-A&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAL9sdvA3EEFdzaKgC8g6pKd58O6O1qV7rUjIja-k4gWrAiBzTLmbocH1Z5d_cVL5OJISO0_A5AexdEax4_57vi5hNw%3D%3D&sig=AJfQdSswRQIgdu9oD6fcTpeI6xjBKH3sYcWLQHU3KnSxSKqZPUMJAvsCIQDaE8SDHZb8ckJs56UaqDp0PwmMRpcyo_Apuox0k6mdCg%3D%3D,다람이 기자 · Solar,11K,392,@kpop_reporter_daram
금수저 여자아이돌 TOP4,https://www.youtube.com/shorts/HeiN3zOQ3lE,https://rr5---sn-3u-bh2sr.googlevideo.com/videoplayback?expire=1754622441&ei=iRWVaPqhDLiX1d8PyOHLgAU&ip=220.72.66.139&id=o-AKZELJDZp6ecPfIrAVIEeuD1fd8TYx7QVwb6GrmMjWJ-&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600841%2C&mh=Ee&mm=31%2C26&mn=sn-3u-bh2sr%2Csn-oguelnzy&ms=au%2Conr&mv=m&mvi=5&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3918750&bui=AY1jyLM6mAc3n9__o1C63bTuIgNVJ2W3-i_MEPljePEIIkrHdoH7x5EJrd0hPBrzt_au8pwoC45pZI5z&spc=l3OVKS38E3n7p9JLzI9nv73rPLLwJzwFsyc7hTG8vI2QuLuzltYqRRIPPex-FY9VSg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=fJPyWgimQ1CKO5el3lGzDwAQ&rqh=1&gir=yes&clen=4224404&ratebypass=yes&dur=56.469&lmt=1746244205639033&mt=1754600466&fvip=5&lmw=1&fexp=51548755%2C51557446&c=TVHTML5&sefc=1&txp=5430534&n=Ao5dPonHcDc_Dg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAKfcXDV1IU4jFqPUCuRRG51Vksia4UICUFrvKENDQ-18AiEAytYJxABs--FlTmDi2yu8F_rfjMr9UpWH1hIAs9GVPl0%3D&sig=AJfQdSswRQIhAJ5R3hPggmCpxBWXvyqDiyG3otYQZGpQrl8RDv2Th_QtAiBUPWgZOPzcLce7m3ov2yIUwKEQHjepA4QcF6ys9fEvbg%3D%3D,,18K,976,@아이돌_월드
해외에서 촬영했던 아이돌 뮤비 TOP7,https://www.youtube.com/shorts/h55bOZtobBc,https://rr3---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1754622449&ei=kRWVaM6SLabx29gP_LSIOA&ip=220.72.66.139&id=o-AIIwpnPCLdrrm0sSXNa-zdXpc130t53HHfavBwEY7g2O&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600849%2C&mh=As&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-ajogu5-55&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4022500&bui=AY1jyLMIJclyJsNeWrNPknGu-9VKMtiWwzwclz2b9sFNWfKrwxWZpKPh9y5S8-WsOahu-XyRslHOIbGA&spc=l3OVKdVu0qYTG61g-kaFmcGsioC6M1ZOcVM_sxz_7Rj7do_hOXBw5wh4Rb3iiWp9gg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=dpLJZ7yDRXSo3tlTpJnMbGkQ&rqh=1&gir=yes&clen=2314396&ratebypass=yes&dur=30.656&lmt=1754385354128725&mt=1754600466&fvip=2&lmw=1&fexp=51548755%2C51557447&c=TVHTML5&sefc=1&txp=5400234&n=dk0RiVoEHVU6xA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAPrx6NJErmDsAIG5bIrAr1FfEmG8S8GH1nt91VOQvgZRAiEA8kJ1g84uEWS2hYek5SV3QAxO0-0I0H-MsGPqcLEjOTU%3D&sig=AJfQdSswRAIgQiSksQ_UR16h-eZFGF46tB9NeNlZbfH8OVluLfM17f4CIGHnhdsVeXMPtFJh7arR6v37NPvikBll9j0FoPwbXmK8,Echoes of Melancholy · Sonique Music,13K,35,@아이돌_스토리
식단 관리 중인 아이돌 먹는 척하는 법;;; #shorts,https://www.youtube.com/shorts/_ouFjchLAn4,https://rr5---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1754622451&ei=kxWVaJvyJrPf29gPv-HrqQw&ip=220.72.66.139&id=o-ALyauJb8leENk4XuunRLYvkm7dPjcivNQiz8X4A3e1k2&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600851%2C&mh=qM&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-oguelnsl&ms=au%2Conr&mv=m&mvi=5&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4022500&bui=AY1jyLNiU8PTXEs3rov4F4cUNihccy7e2kwn0e0frsXxWXk-6MhRa4yPfXyFYN-wSeMDibwamqzBs-Gc&spc=l3OVKfMXokQ_ntn_5EjkaTHmRt_7f7XT99yBYqCBkSAno0wx6uw1IKjtSDRs9Wo1qQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=QBDoZuyi5I-g2jSAjGZ81MoQ&rqh=1&gir=yes&clen=3797175&ratebypass=yes&dur=50.730&lmt=1726740717871438&mt=1754600466&fvip=3&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5530434&n=_euDt-tflhIc_w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAK53_G2ktAiqmf3Xku2-URzWctyIHfRs5M4Iky3KEUObAiEAnbCwxprGfvLhPcSV5sooZATag8ZlQLPa8Jvti8a10PI%3D&sig=AJfQdSswRgIhAOTAa2yHtTPX5CDeRjaXwDLKi5OYmTzFpQEVIY_BFSoDAiEA2cA8DxsjgVuznKPYFoLUnOKpqmckj7kj5k3i_9stDvQ%3D,#shorts,17K,576,@peopleboxkorea
연예인 관리효과 아이돌로 체감해보기,https://www.youtube.com/shorts/QQWJ3dJqQhk,https://rr3---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1754622453&ei=lRWVaNajLvGV1d8PtdCq6Qc&ip=220.72.66.139&id=o-AO_fPUoXV0Db_1BoGcoE5ufI8ivOEWtnNuhXGd9IwYuy&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600853%2C&mh=g1&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-oguesnds&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4022500&bui=AY1jyLPr-ApZdAcyuNYJkKUFIzh8l1alzGNN6IxTr6_0pWenpQZHoHFLtfVHcReeokjJhRfT9A3p9i4i&spc=l3OVKWjaMKUQF5CGxLqnTfVy7HPLKsae1B61gu8DtPGw0jKJRZ-Iawk-Qj0se7Js4Q&vprv=1&svpuc=1&mime=video%2Fmp4&ns=TMeuLAAC4Eo2A-9hKqMevk8Q&rqh=1&gir=yes&clen=2938901&ratebypass=yes&dur=39.296&lmt=1751542569135467&mt=1754600466&fvip=4&lmw=1&fexp=51548755%2C51557447&c=TVHTML5&sefc=1&txp=5430534&n=aaku6R5UJY_tnw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAI9lwsLpGqTKJi7071LkZZIhV6KL3mgsNKPkZU9W7ZCIAiEA2jQ9J6MVu3yhhdXKRK5qHnlhYjwyaYKu4pgT6KUrMqo%3D&sig=AJfQdSswRgIhAIfGTUIPZZZx-VrAevDszP3DGcjsGkNvLtXnlIJKlPMYAiEA80bspGyp2V7WRoPoyy9RWLiZ6ythbSvBYvawTx8sPk4%3D,Radiant Daydreams · Melodrix Music,15K,60,@해달특파원
어이없는 이유로 욕먹었던 아이돌 TOP8,https://www.youtube.com/shorts/g99mX2kHHC4,https://rr1---sn-3u-bh2ld.googlevideo.com/videoplayback?expire=1754622453&ei=lRWVaL_zLpOWvcAPnKTl0QU&ip=220.72.66.139&id=o-AFhMydvcE0Yq88Km7wklbH0QNC8uZ941nfSLOeJGe0xb&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600853%2C&mh=1y&mm=31%2C26&mn=sn-3u-bh2ld%2Csn-oguesn6r&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3805000&bui=AY1jyLPTyUuCUNMybZNOcueJRnSGvdNi2RFvcBR1zGcNeR_3T7Enwaozc5IUnxzZposVf_uM228n4dzC&spc=l3OVKQd9kId_-2Y2QtDj1inXvN98MIA0aIgSxFSUVKt7AFcUFpKNrhyPdvWUZxbxkg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=igbcBbTDz4NyriwAsanpxGgQ&rqh=1&gir=yes&clen=5706223&ratebypass=yes&dur=55.957&lmt=1754476169759877&mt=1754600466&fvip=2&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=6300224&n=zd5LmtRKC-WbbQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgY8KJjFpJ-tc_4H3dIVZ7xW9v3dfHwy1kDuNlkNS2L-ICIQD-7XzjEISG-VOpVl7AqWDy4fwxUpB0YgU391plF7jdXg%3D%3D&sig=AJfQdSswRQIhAKdBZb-k5-UNHH_U4te01-Vkmag1HSiBUfKkqghC_JlCAiBkQg1UBhfsSGm32OJxbsv0UtTX6QJMNXPHsfC2LxX2CA%3D%3D,Golden Hues of Happiness · Meteor Blaze,7K,329,@한끼뮤직
비주얼 쇼크 오는 충격적인 아이돌 의상 비밀 #idol #kpop,https://www.youtube.com/shorts/rbqOqXxpu4E,https://rr7---sn-3u-bh2sy.googlevideo.com/videoplayback?expire=1754622457&ei=mRWVaPamNZfBpt8PxeDV2Ak&ip=220.72.66.139&id=o-ANXDyLMtSi-fUcFGDKCc7gJcxqo5oGrJg2hZvX5_88uM&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754600857%2C&mh=rg&mm=31%2C26&mn=sn-3u-bh2sy%2Csn-ogul7n7s&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4196250&bui=AY1jyLM5N_Dij5L1L9mWY3gwi3Bdg1cLEFUmCbm2L6AF33MI-5rsh7WoBwoOSeA4dZQXmCHWVS_vU2R3&spc=l3OVKRk7_-javNLaEj8bnaNwKN9tDfb3sPBslDCpup1faFUsGcFYuGZT5ZQYNWCWwg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ijLMPXU7IV-YwUn61TA8aZcQ&rqh=1&gir=yes&clen=3504186&ratebypass=yes&dur=46.954&lmt=1753857530543917&mt=1754600466&fvip=1&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5400234&n=0vSFEsww7wC9fQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAIOFtxEy8V8JGr6zKYPPcloKWeu0uBnKZDS-D8G2BzJ0AiEA83EKPJ5_NxULnGIPk9yCLzmY_AF-LVDuy1cF8jWXrx4%3D&sig=AJfQdSswRgIhAOqXvbS-mIsDRTBiXBrdgSgs16WCz4ZmJgU3DvPyZ7bYAiEAi48vJBa-C9JZtbwyUxVDkP8F9hKQbboLHqmfoQgJYJc%3D,#idol,15K,925,@okeedk
