TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
This Part of Your Idol was Cut 🤩,https://www.youtube.com/shorts/A1L9co4_MTk,https://rr4---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1756322102&ei=1gSvaPSxHobk1d8P_qnssAc&ip=220.72.66.139&id=o-AP3RO81cGGl7NzXereAx5htkz4ekzvxPE0gRXGNbC-bc&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300502%2C&mh=1U&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-oguesndz&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=3671250&bui=AY1jyLNNqsNVqN31q81-2QduLevgVPMM_b8RLqQwXixrqqKQGs8xG1yKS3hPKoUJNHO56xMgru7wOkOv&spc=l3OVKa2DJ4M2XXyd1k3Tqbe3LdN9B4WXR50trzs3dW5hij371--QJByGAfoEGCDI5A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=Am92IM9Xbh4teEwgTAvYWB8Q&rqh=1&gir=yes&clen=1105642&ratebypass=yes&dur=14.677&lmt=1753648163782696&mt=1756300076&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970%2C51583704&c=TVHTML5&sefc=1&txp=5400234&n=gGGnvkYYuUNoBw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhALyDncWM-HX72zBX4STtyps5HP6vLyUWtX-vgXBDJJg4AiEAsQ4rCySBG2WPIdr8hjp4qgIP05VjTalafvovzksq5mk%3D&sig=AJfQdSswRQIhAJ1pgdiTCVbLSWr3Z1fz21teWryrMVLNpPub2p07eYiJAiBt5jtx-DR69EBhavK6ZuVP0-CWCftiNqZ_sbatvcos9w%3D%3D,"Your Idol · Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",1K,437,@KoreanSliceOfLife
your idol has to be the best song on kdh #kpopdemonhunters #sajaboys #tiktok #fyp #kdh,https://www.youtube.com/shorts/F8foH_QWjdM,https://rr3---sn-3u-bh2ly.googlevideo.com/videoplayback?expire=1756322103&ei=1wSvaKWwEKPh1d8Pq-_-8Ao&ip=220.72.66.139&id=o-AF3C-sj9wIqa1VF_EjjN-HzzMU3HDDQShrjbEYHb1egt&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300503%2C&mh=Ku&mm=31%2C26&mn=sn-3u-bh2ly%2Csn-oguesnd6&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=3295000&bui=AY1jyLP2_yypyCJDqg7qHVPnH3Dbf2-nCzeVev1GhQFKWERti6faEhx5DdXsy8qbgKoDTp4NJSsmHoWs&spc=l3OVKS6efcV9TFQ5OX-3sl_o7AOuR7wbhz_dYYRSYd1SelWHjBp7R3eXgWcRyjSzfA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=2cNTMi89RETz8z3MyyCcW2cQ&rqh=1&gir=yes&clen=2515620&ratebypass=yes&dur=21.909&lmt=1755986350799611&mt=1756300076&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970%2C51583703&c=TVHTML5&sefc=1&txp=4400234&n=R0Omj3-rIudTQQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgWPegtqqTqSBUSTeFGi1t6Gddzfw0EjcOAq9xm50eOsACIEjI5g-6PEpdR2PrZG_qxXUkF-B928vp2yNKnkK5rjQr&sig=AJfQdSswRAIgSgHLS-AQ63K-jWymlxSdtYA550v0QIlss0K5ifJ1QwwCIGRlHUJlofYw4o1ahdLDKV4qr6qdsUQNgvDMhZJjU-ge,#kpopdemonhunters,19K,961,@kerrojewelsৎ
These Kpop demon hunter characters remind me of these Kpop idols! #kpop #shorts,https://www.youtube.com/shorts/O-2Bm_nENm8,https://rr1---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1756322106&ei=2gSvaJrFEcuI29gPvom84Ao&ip=220.72.66.139&id=o-AA0_wXvltGbdXhBY43KVACvRNa05Et5TxWgcjM1cvTBD&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300506%2C&mh=jP&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-ogul7n7s&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=3671250&bui=AY1jyLNx9eaHNBSPy9IMS5l2_Tc6lJKwSDCgiNTbzInAvSsxthKLnvBooMdjL5L-4naH6r4Up39OFXtZ&spc=l3OVKWTqfVdaG7UWuvvotjjWerN_OEQAZ_Zz1Kq6p6mbmkSxIuYb67WoIGdBgn0i-w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=jyj2Q0yfwAM5vhjSgmGoScoQ&rqh=1&gir=yes&clen=2124098&ratebypass=yes&dur=27.925&lmt=1752236326173186&mt=1756300076&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970%2C51583704&c=TVHTML5&sefc=1&txp=4430534&n=aRiT8ImhjLbO_Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAKlP76dONAXfr8kle-vucbNM4M3ybYTrVd_hXQAgfzDJAiEAi4ALRST4YPtpXys-R7FB-hgfzaY7Mb4PKKUa0_MXC48%3D&sig=AJfQdSswRQIhALcMr7PntmaU1K3axf3uZU8RZdDa9HZItwtES3cRB37dAiAx8gydOOknFDFsllMANGCYs94dgXZijraXj-yw9tfuOg%3D%3D,#kpop,2K,622,@KpopVerse
YOUR IDOL - LAFFY cover | K Pop Demon Hunters OST,https://www.youtube.com/shorts/Zk_zj9Aj2J0,https://rr1---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1756322103&ei=1wSvaK65Iq2m1d8P76CliQU&ip=220.72.66.139&id=o-AB970bKiN61sHFMVQT-oxDJFR2RZ4afhZSnLViLUoMvc&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300503%2C&mh=23&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesnd7&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&pcm2=yes&gcr=kr&initcwndbps=3881250&bui=AY1jyLO6TUJU8ELyVLqNn39YJosU-yPJe4ue5aeX5AzOl1jeAHUi0lD9bc8UAfPjbpwwtVGHFct1qmkD&spc=l3OVKfu7lE_2yFeg_lyTp-sJV87-4fT1arK-PJZCJEFxr5HXxSkx4_pd-aWBXJkIHw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=jny1LJ34uxaemIBV2qWTQawQ&rqh=1&gir=yes&clen=4375975&ratebypass=yes&dur=58.666&lmt=1756087842303815&mt=1756300076&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970%2C51583704&c=TVHTML5&sefc=1&txp=5430534&n=7bN8RmRH5nu9mg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhALx1ysH1ewo0kx2YGyhDrJpcEpbEaFq7wCKp2NVmRdgoAiBfPFNrUWHuNiA_Ccf7DioXASecp4bT46RTyMifq6wv6A%3D%3D&sig=AJfQdSswRAIgLKkG4wfJgTpgvy8OyRooAyHmxOOUVfIUZjdb-x6-Me4CIF9BUx-lZoTmHlmNmEMPxBjTLjTkl8nbnGQEQ-ve5Xv4,"Your Idol · Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",3K,911,@iNOUTOfficial
Your Idol By 4 Town #kpopdemonhunters #turningred #animation #shorts,https://www.youtube.com/shorts/OwneDvXh8BE,https://rr3---sn-3u-bh2se.googlevideo.com/videoplayback?expire=1756322110&ei=3gSvaO68Ju_o-dIP7OjO8QM&ip=220.72.66.139&id=o-AL-gDBVbqflEygTuYx3y4KT1F4ysvl1LC-LBzLrfpHk2&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300510%2C&mh=t9&mm=31%2C26&mn=sn-3u-bh2se%2Csn-oguelnzy&ms=au%2Conr&mv=m&mvi=3&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=3306250&bui=AY1jyLPDLyLoZAIR2nwqsyffA1JqpAGOiW0GcwqMBtFnbowGgPqpjKdikBRNRi1JvUwe0KiOdGZb4dj0&spc=l3OVKXsEU2ZP3kS7lPD6HfWPriHNkRza54YNHnsHLYU9c00F45uTusIzPi_7g9PkuA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=Hlq4Pm_5tGlQxq_LShTbrnwQ&rqh=1&gir=yes&clen=2587052&ratebypass=yes&dur=33.578&lmt=1755128788146339&mt=1756300076&fvip=4&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970%2C51583703&c=TVHTML5&sefc=1&txp=5400234&n=R2uuxmdFY0ohNQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAJ9FHk1CvSewVDfNCD7-iE5XsjL7m0t-oicdNcJE7EwqAiEAz9JZD2LbSVw93hhbESL22TrkCi9hZZkZ1QAFu3m-e-U%3D&sig=AJfQdSswRgIhAMhqZxd3pgpB4mMD1bK-fwGeCH6SiWnEDb98rqIbEAKRAiEAqE0U5AwQFnwXh2YUptNLoB0fOglAQX7FY2ssuyYQVGU%3D,#kpopdemonhunters,5K,779,@ArsDeCinematica
KPop Demon Hunters / Saja Boys Your Idol / Find the right leg for your body,https://www.youtube.com/shorts/HGGkgrnAoR0,https://rr4---sn-3u-bh2sy.googlevideo.com/videoplayback?expire=1756322114&ei=4QSvaJzdPJiM1d8Pl-2g4Q0&ip=220.72.66.139&id=o-AC6HkpkRfAI0YnyBPsgoGHznjEUf1LG6oayoPKIyJ2gt&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300514%2C&mh=yq&mm=31%2C26&mn=sn-3u-bh2sy%2Csn-oguesn6y&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3256250&bui=AY1jyLOBDhpsMpUIfQPLup86zH53CyYEbMWm37fuJRGoD0WICWy9acJD3KBczPFIpVfwPBK1Ambd3NWk&spc=l3OVKTnsDTFEiUDtk2C9AH2JGWeOqrocBircEl7wRQXmjALImZj5h9dXmLnI1SiHkw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=IRO7cOgEZM1-6YfhoXAzXcQQ&rqh=1&gir=yes&clen=448586&ratebypass=yes&dur=6.058&lmt=1755265206816334&mt=1756300076&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970%2C51583704&c=TVHTML5&sefc=1&txp=5400234&n=IrzydUrDIS6SCw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAJ3W2CWlVd_Y4nkchBioXydwESJVBvnxcBq7iYiFf3MtAiAzWfdgCx67X8LbBmRTg8gKb2ND_EuFnm9yo7OpXrKuOA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgRdNc-6kh_UKMitVxV00LVrr8p5Vxtf-CHEh7jjgW9loCIBsZVvc8D6ULmV5xcP6mUWz0WfzpMePbJWnF2VcQET2s,comic toon · VML,9K,238,@CrackToon-j4d
Baby Saja’s Voice is SO DEEP 😩 (Soda Pop / Your Idol - KPop Demon Hunters) #shorts,https://www.youtube.com/shorts/5W_rsmbTXXs,https://rr7---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1756322114&ei=4gSvaJyZJMKN1d8P7siE-QQ&ip=220.72.66.139&id=o-AOpIiQjuyBusI-O39Q36EN_hKPfQ-QC4MGJwHunnq_dp&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300514%2C&mh=Ul&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-ogul7n76&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=3881250&bui=AY1jyLM7B1wD94tjbTIzyjg83JulvaSe5Np7xNvIsVRhhG1yhnG6T6rNPPWSIKsfTRe76ePoWi_U4p7Z&spc=l3OVKZc7aSqgT30fFz4PNYg9lDdQ-XKUKxPxJsf7iCEaj-zsVLzhUpjUijZvd8ZVQg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=KRvn55_VrFDIP7Xc2qraw80Q&rqh=1&gir=yes&clen=1805252&ratebypass=yes&dur=23.573&lmt=1752773391682136&mt=1756300076&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4400234&n=SSvB1m3JKChDwg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAN4fcO0STXYc_N5C_6vIy2evWqwm5jBIynIPbFZ3-WUsAiApz-dl7AdrFTzOKyJM3jNlFy6pLbQjHfgKBReY2ASC2Q%3D%3D&sig=AJfQdSswRAIgXmqLtZeKN-jBECNQqPbp9PLZ4Teh_u7qQcDw3q_VLYACIGVxLifjV3YQC_Zsqbdh-iZGO_Tur25mMHxLB2Vp9X4V,#shorts,9K,926,@neptunes8
I styled the Saja Boys for @DannyPhantomexe ”Your Idol” MV! ✨ #misslalavt #kpopdemonhunters #kpop,https://www.youtube.com/shorts/8WvT_UD66co,https://rr1---sn-3u-bh2sr.googlevideo.com/videoplayback?expire=1756322114&ei=4gSvaJuqJM7g1d8P89GgoAU&ip=220.72.66.139&id=o-AOB_rJlpEdEHVnftauD6Pg61BITzY6E2ArchH_dxr_Rf&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300514%2C&mh=b2&mm=31%2C26&mn=sn-3u-bh2sr%2Csn-oguelnsy&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3431250&bui=AY1jyLPHrHy1CQszkVAY-OR2T8BMu5fsD7crplNm8RZId4q6duXn_ev_oZKiheMXL8y9y3qUW7WOCZEF&spc=l3OVKcitGevguUlGEWo2F1K7oExv2gycfb6nL97aEK-qoBajFJHq9gZGGDZ-XKTxyw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=zSfn8Cos_xMQq0_ijd1Ue_IQ&rqh=1&gir=yes&clen=498739&ratebypass=yes&dur=6.656&lmt=1753933726274044&mt=1756300076&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970%2C51583705&c=TVHTML5&sefc=1&txp=5430534&n=Tmv0KkhOGmDxGA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAMsUMDCeFS7I_Z4wCiGvYZKiCNWDT_oJJAO8eo8ljOEPAiEAkBleooE7aXsgojhgOFi-cWH-q-o7vJWvyA_piOJo4y0%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAKs97kyGUuMznawawMVw2pqf-qqx0f3P4HFZErcG-UH1AiEA1fdo5e1KfTqnQwmYQpca2F9Lt3rMapifTQtHTXKfeDI%3D,‪@DannyPhantomexe‬,8K,870,@MissLalaVT
SAJA BOYS - Your Idol (Lyrics),https://www.youtube.com/shorts/sAzzczydce4,https://rr3---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1756322118&ei=5gSvaOuFOIHX1d8PjJqbgAY&ip=220.72.66.139&id=o-ADhli4w36V80-k_u7RQWqeIctR72tJ6RXCKmHlFm4-Ng&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300518%2C&mh=0f&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesndz&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=3881250&bui=AY1jyLNoHWJe5f-fCED3pTjpiooCijNedRAjw7zall0GEW7-Z6kmPJk-yRCXr0innrUb-cEAfBdWCm5a&spc=l3OVKSYnosUIq8Ihd-btd-7sK93i46zQsjPZ3fOZyr_my3Af1SzqBximeFSlVClI0A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=aIoTBcti3wkvXchxWyw79gcQ&rqh=1&gir=yes&clen=4249806&ratebypass=yes&dur=56.576&lmt=1753903747916427&mt=1756300076&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970%2C51583703&c=TVHTML5&sefc=1&txp=4400234&n=y4l7OyvnkFIttQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgCdfpKJr-Rl5a-B5Ue8ySfwzjrlGFdJHjAKmlueG-IMoCIQDkIMg7yhoc6YV2PXIhB5XeMdG-WK0IJCM9pQSVrH9yxQ%3D%3D&sig=AJfQdSswRgIhAIH_hVdHienh8umKI98lPbo4pZm0z9MmAKQx2ooA4L2fAiEAmEs5URvGDENTTZWRG5TrADG9GHnoDcZmIci7MdRlsPo%3D,"Original Sound (Contains music from: Your Idol · Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast)",20K,396,@K-Everything-K
The Sajaboys represent the dark side of Idol Culture #shorts #kpop #netflix #kpopdemonhunters #twice,https://www.youtube.com/shorts/927hKrJSwBI,https://rr8---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1756322124&ei=6wSvaO3rPLyA-dIP69zysAs&ip=220.72.66.139&id=o-AC5MkOwlF9Bn-Xah0Wv__b1huid07F0G-YomT2s1Nsjx&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756300524%2C&mh=zA&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguesnd6&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&pcm2=yes&gcr=kr&initcwndbps=3983750&bui=AY1jyLPDMZHUxO5g3yO2hJpysbKbJbpMw9KvDJAjkOpa_vu0BBhmYwErh6r-Hlp5d8eSHw3LKSsZaDdH&spc=l3OVKe2wUQqAxFyPvkNplWot3xrhzoEeSLWciBkOUXKybndQXYPz0Pf29TrgbvCy4w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=W1vNd3jSpJh2-pq-IEWaVAYQ&rqh=1&gir=yes&clen=3011449&ratebypass=yes&dur=40.256&lmt=1753120884615878&mt=1756300076&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970%2C51583705&c=TVHTML5&sefc=1&txp=4400234&n=o54xH1Wdux_JPg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhALaHYUxvs4zFRx9JZXz1_Z5SPQRrum5GMVxWpyffrDcZAiEAnvARHMSBPKtM9oijiOTXZRfQy317Y1ntzGC_-S3KzFw%3D&sig=AJfQdSswRAIgNSFuUXw7H0DzxAY1_jHjhXyeKbAGT4H51UtdNR_Q3dYCIGDZIffqfOXQ3x5_GrGJ6MiRSWDTgdvsjRS5xd4LdPsV,#shorts,12K,163,@flowchartkenYT
