TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
[아이브] 가을 × 유진 × 레이 아이스크림 챌린지,https://www.youtube.com/shorts/QOAUsmvoMa4,https://rr4---sn-ab02a0nfpgxapox-bh2z6.googlevideo.com/videoplayback?expire=1756893870&ei=Tr63aJ6GE6iFpt8P88-OuA8&ip=1.209.175.55&id=o-AHAe30KfxK3QUqtT__MVmb-WomMGbOUhB_nU5Y7DHgbj&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872270%2C&mh=kM&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2z6%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=4&pl=24&rms=au%2Cau&ctier=L&initcwndbps=1948750&bui=AY1jyLO44U_bKA9ZtkXj0WEwqvf1_CLvBsk0gb96ks1fVyqHK8W6C-UX3npqb9LA1VSMa6_MwMLQVwKx&spc=l3OVKflmmUfdSChFJI31ZircldLjPtNYP6wifuZozTEuu1g2I1ilPQqVYYrViS94DA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ggyobM71-ezUQ06IFQgrnFwQ&rqh=1&gir=yes&clen=1636560&ratebypass=yes&dur=21.952&lmt=1744701924823878&mt=1756871842&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=ARCUDvOu8KypfQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgbOlaJGzztlMg1ib0gFhG5enGjVqoHcBCa0f60Ou-NNYCIQDxvMguqmO7UAcQ0ftmV1l8bIIoc9GWgYpvgcIFVMdARg%3D%3D&sig=AJfQdSswRgIhAN7osoDKrP-htOBR7VyyWlfzxmRKFMOOjLNJmuHGSRRAAiEArcyz1nsxhNfLrIZkEXRlVP0R8t3AF7JllIF7lb1Ltb4%3D,AI SCREAM! · AiScReam,1K,427,@아이브일기
"IVE 아이브 ‘XOXZ’ ""너라면 다 I want it all XOXZ"" #アイヴ #IVE #아이브 #XOXZ",https://www.youtube.com/shorts/sv2XXaxrmUM,https://rr5---sn-ab02a0nfpgxapox-bh2zr.googlevideo.com/videoplayback?expire=1756893872&ei=UL63aK-cFK2M1d8P6_T1wA0&ip=1.209.175.55&id=o-AP_xy_X-76h6Go-8J7yA_Gznwz6WT40i0ok8K7O7CvY2&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872272%2C&mh=8h&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zr%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=5&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5487500&bui=AY1jyLMV7OZk_m0C_fWZeukFUVgGViiwamrI3wOefvrJy6iX6Kie3KXsDH7cG6Uu0OLJvL5U9O1w7Lpe&spc=l3OVKQ_1QFVzJUf-cThkt4BuvKRf0tntT0kwho5U7jdJxR-_mlTNTRtZuy1lhL9z3A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=V_jXVin7cKMZviVU4lYGgiMQ&rqh=1&gir=yes&clen=1908141&ratebypass=yes&dur=16.938&lmt=1756571776317372&mt=1756871842&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=MwTbTKkUdmjI1Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgaQBXyVZQydamFfVkn5Mff4kLOJeE7UGmA5E39fxFfVwCIQDSyL8Q31UCyyR_ZOmlRsMIPCnpsStb3iS5qIowIvb0ig%3D%3D&sig=AJfQdSswRgIhAKueGhjO1cykzmIKNkx02sgPvQUGVm1sFykl79bsIkauAiEA-TCxCd3rb7jstvn7u_W3736HGSQtxUvvNxujwz0Raww%3D,#アイヴ,1K,424,@idol_studio
아이브 'XOXZ' 멤버별 춤선 비교,https://www.youtube.com/shorts/F0d3E91JnH0,https://rr1---sn-ab02a0nfpgxapox-bh2zz.googlevideo.com/videoplayback?expire=1756893870&ei=Tr63aMODENiopt8Pxrq4OQ&ip=1.209.175.55&id=o-ADs6tdWS41k1HI_Lx4pe-MfVwwfF7DVLQrAl_nN-QwGT&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872270%2C&mh=bG&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zz%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5973750&bui=AY1jyLOMMKFxXwdmX_dPOF2I_LECrT1yI4BjtrSPYnOge7_a1Aq_jgjXxDl4KS4y8M0VPU_SsDig1D2R&spc=l3OVKXet74jwmr3u4ypjtuIS7zgoxfFJBVdVjszfCbnrvyol9KGEmw5pY3R7rKpJ6A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=lu7RpdZLlKFbMGSvRS-z3ucQ&rqh=1&gir=yes&clen=6135998&ratebypass=yes&dur=58.218&lmt=1756389682779531&mt=1756871842&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=v8ZEhc-FxOuaOQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgUpWJIxNp-Mlx1fu5yv07R1LOXD6izHfSHEFz-pvPs84CIFc9cxmBgNs_iswfo6PTL4v9PaZ434AE3x0_DgXLLqCm&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhANvAZJ5gSLY8QY3ywsiSpoZEb8EgAMx5uTV92s3QMSUfAiATkqJmlWxHlE4dtwqUEE5_ELFoW_W5rQcCshUWGXRXYQ%3D%3D,,1K,357,@MnetM2
Come to my XOXZ 💭🐰💋🫂 #IVE #아이브 #JANGWONYOUNG #장원영 #XOXZ #XOXZchallenge #Shorts,https://www.youtube.com/shorts/4DWnylNh7Uc,https://rr5---sn-ab02a0nfpgxapox-bh2e6.googlevideo.com/videoplayback?expire=1756893878&ei=Vr63aP7yF_mFpt8P0dSWkQY&ip=1.209.175.55&id=o-AMJDhlUK7KuAZB7jelTpuS2m77hUvDC2mOFvP2lJfE4h&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872278%2C&mh=oW&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2e6%2Csn-un57enez&ms=au%2Conr&mv=m&mvi=5&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5551250&bui=AY1jyLPhZD4tHgA9flqG2Bz_WJ0QTRcJD5RpQ_H-HVim4OWXjHajvlisYU3iaECANCezJTBou5B-AoMZ&spc=l3OVKRAV-kSvODYmSw_y2drMg4GZVk-3bA1MxGZ0EfMnBF500DuZaTev9L9cTQtLQw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=KS-mbVp4Wa_2F0i1uFNBA7oQ&rqh=1&gir=yes&clen=2698174&ratebypass=yes&dur=24.256&lmt=1756622319729833&mt=1756871842&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=Uoh5v437g9gn9w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgEd3O3AAl6m6sHC12Gglhgi-KCnvUB01NlYCUzGylhn4CIQCeNwP0sv15DGxdrH7M6vBK0vhmYg2k5-8wRjUgkM03Mw%3D%3D&sig=AJfQdSswRQIhAPPA_D0nnKW_lD-llBtcpiWWkrOyBm37NcYwP0w1gG98AiAJxrh7H27ULrE53ZEvrHEiPpVrgfVhxltdSrP2o3dqAg%3D%3D,#IVE,14K,509,@IVEstarship
아이브(IVE) - I AM | 2025 연세대 아카라카 yonsei akaraka #ive #아이브 #2025akaraka #장원영,https://www.youtube.com/shorts/570REfq8YEI,https://rr1---sn-ab02a0nfpgxapox-bh2ez.googlevideo.com/videoplayback?expire=1756893872&ei=UL63aKzgD9iQpt8PyvXwiQ0&ip=1.209.175.55&id=o-ABbBuAHrjnUDXW-bAa0QeBGkyW29AFV2tEEjdAomzq5s&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872272%2C&mh=p5&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2ez%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=11440000&bui=AY1jyLP9_3HUF0xuhgj7rQGcpMtTIDsddIOlzc5-tTh1BpHnO1wgGXFbHwZ8MLo35XTXXaKNBVT0gfHw&spc=l3OVKRUIRa36_7NhKIt2SfCThDp8Pc7usO7ijyVecMg_MHOeoYXZqS3RmFJXB557sA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=yUzhVYbbVtss_K_b-pf7A7sQ&rqh=1&cnr=14&ratebypass=yes&dur=43.560&lmt=1755990589226319&mt=1756871842&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=cHufoWTNm8P2rw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgaE9PlP07JcKo8nn88OuFk1wAD9yvpXmo9BzGsE1gKuoCIQCsutmcNXA1oMbl2g1uyeKLlYDSYwscIAe9l6O6MQgcRw%3D%3D&sig=AJfQdSswRQIhAOl2Je_420_w4sCeXN4Ypwnho05svDNJhnGGRGuDOkhUAiBxyyW7nWF7NfgwZl8wacJlbaBh-skgozs54qSsIeDkgg%3D%3D,,13K,408,@user-JEONKJEONK
브릿지 맛집이라는 아이브 신곡 XOXZ,https://www.youtube.com/shorts/Tp9tvJ48lfw,https://rr3---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756893872&ei=UL63aLjED5ijpt8P6ZjpIA&ip=1.209.175.55&id=o-ANs01ZqS_duA6Dybb2pWEVvpD7YFJpyrVzdz8DkfB7xK&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872272%2C&mh=pT&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=3&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5665000&bui=AY1jyLMPKsaI82zHHG1UnV2Ws4N2r8fF2RSIaj-ZczGVUGgGweUP008XJOt7ouexk6RkEgUWHVkqWKZf&spc=l3OVKTFvb6G-QefvqRol-O2nwa925NiSD5AmEWgY4IPibxuiFxoNx6-i4Z575peu-Q&vprv=1&svpuc=1&mime=video%2Fmp4&ns=9nf6K6fPoBWp2Mh--5Fz_DsQ&rqh=1&gir=yes&clen=3535912&ratebypass=yes&dur=39.850&lmt=1756539668148369&mt=1756871842&fvip=3&lmw=1&fexp=51514993%2C51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=Df5WoAQDYGjyWw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgXxhVcx6v3n0zdmbpdt_xAhZ9hXb-4dR27Zx1EKwdyeQCIQD8f7HL1v5lvhegZTPOjHg0uTATvlVF7HGD3zSrH4yDYg%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhANT0qLYhDTbJFxjW3bbczkROYVMx26s6GOMm_pVTuC8LAiEAskkz3gCWeRGXX8h1ba-pX3GHYGqRaHy1voakgLizlpQ%3D,,10K,834,@Honey_jam_issue
진짜 크다는 아이브,https://www.youtube.com/shorts/zuQ7qaN-vCg,https://rr5---sn-ab02a0nfpgxapox-bh2ez.googlevideo.com/videoplayback?expire=1756893880&ei=WL63aOr5IIKLpt8P___A0Aw&ip=1.209.175.55&id=o-AFBBlddcTAyc96hyVm-12QEQUjimN8Ry4_ucBGlOg1Au&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872280%2C&mh=md&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2ez%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=5&pl=24&rms=au%2Cau&ctier=L&initcwndbps=11440000&bui=AY1jyLPvqMy-lD9RTD6iOB77JSkssGuOHMP2BVrhOkwVVDxFH9RKg2khbvecJwrNfRcT-nZYesP7gOIb&spc=l3OVKbyccGfcAtxUc3LoVd1b2RzGM05uSdwCJeT7ze62weCYjwAmX8TlyEAua_DzwQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=WWHfZFTGai7TuX-a0ceqHnsQ&rqh=1&gir=yes&clen=2731260&ratebypass=yes&dur=36.544&lmt=1754665366883637&mt=1756871842&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=hIhFUZttRteGGg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgG3tQtgsRB_Hn4ehItWRu9o8qHz3f8ni7z6EgVmBzMScCIQD5XKlG-qpbKCk6ilyQYId-7rpdoNIkBPRQ-Feiww21Gw%3D%3D&sig=AJfQdSswRQIhAPK_jCIyA2c54JxX3k8eHJdlSg2Gh-vJS5QW6LT6P430AiBYfERsVMZMYuW2t_qJwARkeHFaVw7NbJCVWr1Va810sA%3D%3D,Gentle Steps in a Clear Melody · Creable Music,2K,773,@ive_film
원영이가 군대가서 이룬 것들 @ootbstudio,https://www.youtube.com/shorts/mLRgSaLqyCQ,https://rr5---sn-ab02a0nfpgxapox-jwwy.googlevideo.com/videoplayback?expire=1756893883&ei=W763aMqjNNuZpt8PyN26uQo&ip=1.209.175.55&id=o-AAvLqNezjno9WJhQVK6XJmnyBwp1ZtLdcpxp529hu2tD&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872283%2C&mh=fy&mm=31%2C26&mn=sn-ab02a0nfpgxapox-jwwy%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=5&pl=24&rms=au%2Cau&ctier=L&initcwndbps=8443750&bui=AY1jyLMOWXvh2ibIG8gTbhHaUPR-IH4okCXn8xge43W68cCB_dnXsHYboiyCos-r_nJh2XADUoOGfSGO&spc=l3OVKYDBxtDRT34KxhCBhUhSPs0hzB7Jbgbgd46OsGJMmgVnLYedbFLjlTSGwIFaIw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=m37zHcVC-eFbEIuHJGVRoEwQ&rqh=1&gir=yes&clen=1362936&ratebypass=yes&dur=18.304&lmt=1756547987526483&mt=1756871842&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=iXXsAAHhGEbRoA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgDGj6oVpy3tf8Lh44PWs3G6EKFhM_kLUOPg8KKAOohqECIQDuSjEOKL9K--U2Wh_Nyd3b0onbIdqlgypXv_-83TlX1Q%3D%3D&sig=AJfQdSswRQIhAOkJ90-kn8zFHXoAMH-i8KY4xocQejHBXi6HjeFfW-I-AiBh2A7aTNp6XJWeFrxBq_Iei6E51Tz9WZOEfOc9BGcKVA%3D%3D,No Roots · Alice Merton,10K,757,@오늘DO아이브
XOXZ with 🤐💤 #JAESSBEE #재쓰비 #IVE #아이브 #JANGWONYOUNG #장원영 #재재 #가비 #승헌쓰 #XOXZ #XOXZchallenge #Shorts,https://www.youtube.com/shorts/xzVYW8aNRSc,https://rr1---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756893884&ei=XL63aMqlO-Crpt8Pv6z3qAs&ip=1.209.175.55&id=o-ADvrH1FO1TBngujHQZhko7i2bD39LKPNNzxSzCdmnFUH&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872284%2C&mh=pk&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=1&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6003750&bui=AY1jyLN0BFRzQXt5BedeSm4JsQcc8QmeX53Ld1NNISYkz1BSA9en6zPZ44YEpytAGlj4f5K2oTshLQoR&spc=l3OVKeTKhxw7Lf85VmYgEVKZ8Z4E-JZz0XlkwBa-fPR-13e6z5jR2MhcMmKwNLsLiw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=Kx1GOhP6w8kQtt5w1Et09nMQ&rqh=1&gir=yes&clen=1397752&ratebypass=yes&dur=18.752&lmt=1756562660925952&mt=1756871842&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=HsUlWv-R-_NYSg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgcETG7EqFtVLyX6uZUNafd8S3DI4o0TI5WpRj_Z_d4YoCIQCgw-ug2zEZFwNtKqqKTdeJRP2XsSouoUa2Olyi7KR24A%3D%3D&sig=AJfQdSswRAIgM7CeRkFrojwSeKj-bhtYVEWHuKceshRipStV27c-J4YCIBuOQF194AXfmEPBirXgTvrHv9tWdtXzlBOsAeoZP_pE,#JAESSBEE,5K,895,@IVEstarship
아이브 AI 피규어 실사화 #장원영 #XOXZ,https://www.youtube.com/shorts/c_2SBj_gWJk,https://rr5---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756893886&ei=Xr63aIzhD7Lnpt8PtKDg0A8&ip=1.209.175.55&id=o-AIcEt6N0k_tw9_bo2TCUATnBjwlUG_MZ1gTU30TISqun&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872286%2C&mh=L0&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=5&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6003750&bui=AY1jyLMSoaIRgMbCHhdbddDVp-jhFT-hjr_K-Y5pthqrqWlsRgTairYoz5fMmLl4dBNeuT2xkAvSCVH0&spc=l3OVKYbx0J8Lw2WQHxvtFUmLaFlwKTi3kUZxbCkIU9M7QWIhfkO9GWUao5luImwbJA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=qcoT7wpZ_J19rtWTUXKDcOYQ&rqh=1&gir=yes&clen=2080184&ratebypass=yes&dur=27.861&lmt=1756516899996489&mt=1756871842&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=iVBW6vJfTZ62Dw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAN_QXJRyQmKmFlitZ_CyWuFX6BPvxJpstHiv8jYJNpwRAiEArbePtdsaVwCWzh8UFznVrIMvQnfuE9mjaYH_Bevn6ps%3D&sig=AJfQdSswRQIhAJXL6shiN8Tac9o3tVEqwcWfpZOaxD1FTS3xN5-O2iW4AiArApzaCsKBX5dRtTkMkzHT2bkHDBgFbHMfIFrcqNQNNw%3D%3D,#장원영,3K,623,@AI마트
