TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
케데헌 두 그룹의 신분 차이🔥  #케이팝데몬헌터스 #kpopdemonhunters,https://www.youtube.com/shorts/zbrkUs0P7P8,https://rr7---sn-ab02a0nfpgxapox-bh2zz.googlevideo.com/videoplayback?expire=1756893948&ei=nL63aK-ODqGlpt8PjuCM-Aw&ip=1.209.175.55&id=o-AOKe-L6j2GU9Ux-pNIV7IaocUqc-d3xZnwn0ikoZKLdG&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872348%2C&mh=ga&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zz%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=7&pl=24&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=5973750&bui=AY1jyLPWEjYAABLn5UvN0gJu17x1CjVYS-x7xNHSoq7li4qhSLkcWPi7Hb3jvldtidInSQuoQ0sy5d4Z&spc=l3OVKTrE2fiX9kDY882BkK9prJSQ4jY5sELz3I2tNiuZKXIQ4KUCEkJnz39PHazeow&vprv=1&svpuc=1&mime=video%2Fmp4&ns=stguAmv9SA9DFSSlJj3KEL4Q&rqh=1&gir=yes&clen=981688&ratebypass=yes&dur=13.056&lmt=1754992262246435&mt=1756871842&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=lAuYFaHrSlgZxA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgIAIGYySKLX6gOZSb3gFOymSAom5T0g2cyMa8r9x-qnMCIQDGtQ5J1Akcym9BwIYGfqD8sdkYQxlglhdrWHSCrLmw_g%3D%3D&sig=AJfQdSswRgIhAKdy7q4dWMaNDQB8ptFTzxE3_dN2IecB3If4gCxer3FFAiEAsnwq3O7BGV_87r8bsd0IxAbfXkizaJGge-A_78mE9Iw%3D,"Takedown · HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",9K,103,@duksimm
케데헌 싱어롱이 인기만점인 이유,https://www.youtube.com/shorts/DQaDvFlzHqw,https://rr8---sn-ab02a0nfpgxapox-bh2zs.googlevideo.com/videoplayback?expire=1756893948&ei=nL63aMvkLPqqpt8Pzqbn6AU&ip=1.209.175.55&id=o-AFjoEVfXbBnxmQntzn8G3FD_HmQqF-tKmWPJyTJVYj0n&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872348%2C&mh=2i&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zs%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=8&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6040000&bui=AY1jyLN3xcfFTYzFIXAOrZhe2mMq5GM8iGHiDsMgjGghIZf0Zm2UJ7lR2AMhOu6QK-4mK2r-SPhAGxSH&spc=l3OVKWdZk5Qb1Es2CNm6JIZ4UNXCOn6hXUhLWpm2fnJ_uxOJAaU6hIhQ137UPfAV-A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=-4vUKnFRe9k1CuzfLSFcEqoQ&rqh=1&gir=yes&clen=1177206&ratebypass=yes&dur=15.765&lmt=1756334616995296&mt=1756871842&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=OIwBku-N5jQD5w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAOjzvYLGqNhxLtfeE5nACMfDZ_oeAmciUtD78JvXV48uAiEArKtZeC7ewlbkNz4osvXdqqk8dIOlDcZMyqYompB-7X8%3D&sig=AJfQdSswRgIhAPtCCgIxsLSNEFFaTZuavgQuy0DhvxfasggVtweObkSEAiEAxwr5BkSayGzZDzK90RcIvLE7j62eG8kNTVEouUPFFSc%3D,Humorous Escalation · Creable Music,3K,38,@doribang00
케데헌이 흥하자 한국을 오해하는 외국인들,https://www.youtube.com/shorts/cOv8QgC7CGA,https://rr2---sn-ab02a0nfpgxapox-bh2zz.googlevideo.com/videoplayback?expire=1756893949&ei=nb63aLPlB4mopt8PsPnNqQY&ip=1.209.175.55&id=o-AP4ZujLtfIwpyE17MFghjr3awXJFI4QMvHcrYit7KyAf&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872349%2C&mh=MN&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zz%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=2&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5973750&bui=AY1jyLPByU_GIepuseqro5fljzAp5R3BfPOlnCYLPdqn9uKxfC-h9yfjrlfLf9YNPxz-tF4c9VClP46b&spc=l3OVKZbFKGCp7liRqwyT1vvevcgrWvJOfAsfQGYQSf6sYeatJh8lv2eiut8O45FKBg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=nif-gn8Vwyl_cmueOevr2t0Q&rqh=1&gir=yes&clen=943631&ratebypass=yes&dur=13.952&lmt=1753349143220593&mt=1756871842&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=wmmZnax3-pK1yQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgYkJ0b41OMIEcscLto-zsUuIbYDkleEr_yZdHWcmq9iECIQD3AF1FEG8KBUw2FzpZdys0zigGizErWNm9nHy2svAB5g%3D%3D&sig=AJfQdSswRAIgPl3Mu193jVbG1aNaU54NYOKG_9pDmdF92_uerBnodE4CIAFeAtrBSeOTSVe78KPvVspKrxCuMa6WXmUDpJnbRngM,Gentle Reverie · Creable Music,14K,201,@된-찌
역시 웃긴 장면은 다 같이 봐야 더 재밌음 케데헌 싱어롱 이벤트,https://www.youtube.com/shorts/Ig1rZnv4Cas,https://rr2---sn-ab02a0nfpgxapox-bh2z6.googlevideo.com/videoplayback?expire=1756893948&ei=nL63aI_HCviSpt8P7cmQ0QY&ip=1.209.175.55&id=o-ABC8V4n5GUHeJMUDpsCmzwXE5Wp8FUGfsTdjC5SjA33G&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872348%2C&mh=VQ&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2z6%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=2&pl=24&rms=au%2Cau&ctier=L&initcwndbps=1948750&bui=AY1jyLNSdUbEwoPL8Kq6GcQIQVj-iboDtII9E-dQfe-xM7WZ-oEvU5bxAGhJzT3Nsu4d-qdqGoQ0pOZE&spc=l3OVKUsT0LIVfAfq2yhWNgyus08rBDwCLX04cQNgwUb40k1GXHzkYHC9m2SuigQJTQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=dmzIWkdRwH5q9V6jzvieViQQ&rqh=1&gir=yes&clen=1178274&ratebypass=yes&dur=15.808&lmt=1756037262230346&mt=1756871842&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=-wkG9amViNu7sg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgeM3u9u0U_n3A8WTLZ5nqos52eaZPU9qT1NgVRPlxZ9cCIFLAEXLJ2z0mx20DlcCIu0CN0GmI_l_ZEU2mDatkQKcA&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAIys85btb10I2EzYbvwm76f2tJ0eY0QAVTDA863TfBNLAiEAjrl7FyZF_g0zJC1xhAjah_FOi3-wHmQp8UbEJRBoM9M%3D,,1K,915,@피넛헐리우드
어른들이 더 신난 케데헌 싱어롱 극장ㅋㅋㅋ,https://www.youtube.com/shorts/eh6qGoX2YHI,https://rr4---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756893951&ei=n763aIvsA-GEpt8Pv-DmwAM&ip=1.209.175.55&id=o-ABTFstIHhJ8WpNwt39mExY0xO162yOGyXCx3jNtkZW6D&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872351%2C&mh=p9&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=4&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5665000&bui=AY1jyLPV2aXMJtNfoKgnCa4Vu--gh_IHd3Fj3I_j8SVVB3QXg5e2mytZQVpkJNh0S1UH9XTE8hCLwwLb&spc=l3OVKcK7M1kbCGa7lvDI7tnSi5vPXGMMHzlTdSZ8iD5k3gB7EABBm8v-co5-wf2Xxw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ad4Dl-Rt1VFxuvxvY79DMMsQ&rqh=1&gir=yes&clen=1432997&ratebypass=yes&dur=19.264&lmt=1756343422740953&mt=1756871842&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=sqBDrG2XNnBTyQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAJdGGewya8oJuku0sKXzYLjDtofT3d5WYl-aBAsASy4uAiEA19QlYv5PcP9nsUl0tlmP-VtHDs3FCFlpFTg7h4GFS8E%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhALeGuL3KyHG5bVLVfNVTYsojHvm3HUEMNeWbEvadBMlVAiEAr_KWc-YunQLDAzy1jNiTkMb9lOt2YdbBb_PwgB1Tzn4%3D,,15K,341,@쇼츠라이트-r3y
케데헌 헌트릭스 극락 파트,https://www.youtube.com/shorts/bUWP0OO_Gs0,https://rr7---sn-ab02a0nfpgxapox-bh2es.googlevideo.com/videoplayback?expire=1756893956&ei=pL63aJ6yMKOWvcAPrLqZyQw&ip=1.209.175.55&id=o-AIEzlLOS3jxlO7EGVvkqzHHL_q-scAtGfl3afJhzfx6E&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872356%2C&mh=7V&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2es%2Csn-un57sn7y&ms=au%2Conr&mv=m&mvi=7&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5841250&bui=AY1jyLN37cAxrfbCDtoYnibaGU9ye10DCJKO3DXdCv33PUqlZQBQ-LcIvUimfVKluJxq-5WNTo8R5xb8&spc=l3OVKVoEZQgBXna4-GChz8UE_BvUUnE7nrLWtq2S6SsL5h8Yctri-1unpsXvcMyiBw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=dZyE9q1u-82Q5zPOQHODvnEQ&rqh=1&gir=yes&clen=1955106&ratebypass=yes&dur=25.920&lmt=1751554917879730&mt=1756871842&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4400234&n=4qntkJSoMrMCEQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhALt58Q9o0izoeF20SO1nXu1ftchlniaSMLPAjL2LESR_AiBKkI2wNa4S3tE2homLOBQAA7l-UpXmMAuDMvxf1UuRug%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAPfjBzgqGkVQLFzAdA2SNRF6n42Ag4MAbmZ_5rRf4XqyAiBK6MtuuwG9kDQYFfE0Q0WOa2zYepzEp42GLYRNFGy1OA%3D%3D,,13K,650,@슬랴
편의점 케데헌 한정판 #kpopdemonhunter #snacks,https://www.youtube.com/shorts/RORhByniUSk,https://rr7---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756893963&ei=q763aL2bIKrs29gP9P3ZyQY&ip=1.209.175.55&id=o-AA_9CfOKkLTROmVkaOrjFOGITft9Z6CixlU27xDbAxqf&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872363%2C&mh=ly&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=7&pl=24&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=5665000&bui=AY1jyLOb29o7Stnd5vXZ-17K_IR4aPEc3aO0MaP8XhPCq3zKUkFoN36QBVtnM7ZbN95tW_osWdKPFgk1&spc=l3OVKfWc-9UDnbuUmNN2IsCLpVXNzv9i5uIrJNDEKakXDk-iHg9-SNdDVXBCbslrYw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=4Mwgi_jTPemkuFIE53--n9wQ&rqh=1&gir=yes&clen=1359027&ratebypass=yes&dur=14.570&lmt=1756512440674245&mt=1756871842&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=QazPDvTP1rbQAA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAPG87pc-XuGDfldcuEhtTcCDM6dKFBuZWJyBSojlRYVAAiA5xNmyFcRldccHoPjN3EyqmWllqJSRvunj3Qhm8ZUHuQ%3D%3D&sig=AJfQdSswRQIgDltWVIVBcaUlCXBY1d4kPy6IGxPTjkTZD-tAzII1Z2UCIQD867dN4--z0M1ZbYAz30F6jJKVp2QyZGv2VGetyHVSSA%3D%3D,#kpopdemonhunter,4K,699,@ArtWarehouse51
신선한 반응에 빵터진 사람들 케데헌 싱어롱 이벤트,https://www.youtube.com/shorts/EGgmIqRhNoQ,https://rr5---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756893959&ei=p763aJS0G5SUpt8PxbLi4A8&ip=1.209.175.55&id=o-AFVIakIvVPDnwvQAlNWG-6wmUma2w0G87L6LgCUFmhFU&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872359%2C&mh=xg&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=5&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5665000&bui=AY1jyLNAUusdaaUtoaQhIoflWeNaFE5pKng8LRPhn6zu6sGgnRf9Bs8lJpyljQocDyP2YItEofMV3vpP&spc=l3OVKTt5S8oiIHeLOBHIc5j14Q_E5k4C3biVq6-bfhvFxG4gN_qMtyKQg5KSW9USKw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=iF1MYO7N8HwkN0GU0V2nzSoQ&rqh=1&gir=yes&clen=1414858&ratebypass=yes&dur=18.858&lmt=1756093979927497&mt=1756871842&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=oyfvcXY884WThA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgbjpFF44V-le5L7J40NroqBay-DhmWfO_SHxpm_fiAVMCIQDTEEtaAgw3Stbu_YB69TmF5M-GcM2rVDle_6mVOrf_Ow%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgdkO-HjYcRFyWlipUMT_ASzPXfibYNtT4DH9CcXiqDqICIHmgC9sRKdbWbK1JngxwFWpZte2yv73VvniTrFVFdq5U,,8K,718,@피넛헐리우드
케데헌 해외 꼬맹이들 인기ㅋㅋㅋ,https://www.youtube.com/shorts/ARb-bWTIBJ4,https://rr1---sn-ab02a0nfpgxapox-bh2zz.googlevideo.com/videoplayback?expire=1756893961&ei=qb63aNiNINyFpt8PjI2o6A8&ip=1.209.175.55&id=o-ADyzamk3198jHc7GGpVgzL0lDXNvwLMHTBSYPdEXsbfa&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872361%2C&mh=nA&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zz%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=1&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5973750&bui=AY1jyLNDWd7295Q8VZVCHG34txXPYXYOjplTDwMB7eFU_xw28P2GQblb8dRNeoxsjVYmJjvKe7D0ZrOM&spc=l3OVKeomytNrHrFCl8yEkcmGGpy7ckqCypRH5MHSS74vSd-cBJystlNqabr9kFCxtg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=fsQTpAx2qIELqE2GgtkgZTgQ&rqh=1&gir=yes&clen=1183892&ratebypass=yes&dur=15.893&lmt=1756028456472876&mt=1756871842&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=txIGgVDmtH1dQA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAJDc3qG4CfYusuwPvywzkRqOyjRnIMGlaTlPH6ctHQuCAiBarjWgPjPwol2uwQqjiByuzjPrZRq7L1iKOEuc5iJawQ%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgCSEKeXvpsK22jfCmtM_NI9e2VlLXDOzzsOj6IniUqQwCIC1y0Qs56f5JKE1XkV6yT6vxUDWQ1IwgfzIZ8SFpp8kP,,20K,226,@쇼츠라이트-r3y
케데헌 본 머글이 욕한 이유ㄷㄷ,https://www.youtube.com/shorts/TlCKTuvi4A4,https://rr2---sn-ab02a0nfpgxapox-bh2zr.googlevideo.com/videoplayback?expire=1756893958&ei=pr63aKH4BruSvcAPpZL7cA&ip=1.209.175.55&id=o-ALuiVlXLaCJZdq4kDqe9b6kEfsZqzeIOksCMS324lpwA&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872358%2C&mh=iy&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zr%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=2&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5487500&bui=AY1jyLOxPLpBC-dqPv7_2zY66-29a9nZ63aUyBunqXtm07409gFYqhhOWSD8Gc-apeMCorTTvHLEgFC0&spc=l3OVKfnXcvMnKh6WYN9VEIz449Iwe1SZseyfWSMNw79qJGotHSIAgZNLasC05tUT6g&vprv=1&svpuc=1&mime=video%2Fmp4&ns=pREwYOG1ZHP04P-ni4mUpmsQ&rqh=1&gir=yes&clen=4815025&ratebypass=yes&dur=66.581&lmt=1752914892890329&mt=1756871842&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=bfzJXSWXSzEFkg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhALCy_0Qab-phhIzcNGM9z19-FPpQD6c84Sd_WOLRH1pMAiAvdvz3mUVUMShi0tXrR1fzMEct7yQkPEZZHIwG7qem8w%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhANgaOoiUb8FKFeAXkG60j2NKY2JVAmGLqj1Wy3K9DikzAiAgko6zkBxrOSwb_-swZj5HWCFkRBmJn8GdWjZLWFo72Q%3D%3D,,17K,906,@duckboon
