TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
퉁퉁퉁퉁 사후르🥶 #퉁퉁퉁사후르 #shorts #밈 #aivideo,https://www.youtube.com/shorts/cm-iG1-ihXM,https://rr4---sn-ab02a0nfpgxapox-bh2zs.googlevideo.com/videoplayback?expire=1756894201&ei=mb-3aLWdB82O29gPrqTz2Qw&ip=1.209.175.55&id=o-AP5meuddnzmsmmt6sdxwCum5Va1cRbCooCT9FMNZg8w1&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872601%2C&mh=hx&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zs%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=4&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5496250&bui=AY1jyLPWUiqIzvb9MkylTAwgmLeEqgoDJLMycdT73Eb2sL4Os3unUV2rLESzMJCVNwkwCjgTtM1sH5DO&spc=l3OVKQTDE7DHvmdAGzd1qT16dV8RYkDLMjPLnb-V9NMmqQKv7dUHsNUzdtVdeRyznw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=EHgbH1_YC6LYFLF38cFCSqQQ&rqh=1&gir=yes&clen=656138&ratebypass=yes&dur=8.746&lmt=1744964566982010&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=hI97pqgcFzVHmg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAMTVKSp1x8dSZtTlcIbAnidSCRYPWv13RX8q4zTFVx2RAiEAtqm-blbml-gPNut93_DIAe_v6Hmv8sp7ydO488hAQvc%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAKOefDihwcpO6dHVzau1v5qHi2B4596qTPv5hOLoD-NrAiEAtoEA7BBKizsZU2WqCq3dueP6TmsYRocIJhVF2pq38sA%3D,#퉁퉁퉁사후르,5K,894,@AIBOXER
퉁퉁퉁퉁퉁퉁퉁퉁퉁 사후르(날기3),https://www.youtube.com/shorts/o7kR_XugrDY,https://rr7---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756894201&ei=mb-3aM73DICI29gPybeW-QM&ip=1.209.175.55&id=o-ACQgXImq0xHo8L-EqgJKkHfl9EBx5XKc8hjHylAdyvGV&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872601%2C&mh=yf&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=7&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6277500&bui=AY1jyLO21I5WBFuUBReVSDGqnDP7z7MGKMi0Nn2pdSUYSu_0V-tVxavaIplmA6-1ZGJ56-tA-HpzFJ4j&spc=l3OVKQsyUPLH9_bl9upxC8zyNn9VTZVf2pHjnT5dVjZHVeZ6yzLBxo92vZZnoKU91w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=pBsbBi87ZTbwe3hJLZRgN8AQ&rqh=1&gir=yes&clen=604524&ratebypass=yes&dur=8.170&lmt=1756632884453885&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=B-tRyxvqzqQrpg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAPEJj9NI1_Npzp_I0qmEtYmjd68GWXD9jAs3X6ZueG8NAiBi2K9HmzbxRJrUr1tzfFQ40ZFDnfeTTVLo29ImowQQqw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgdIfAxNpHAGSe5SNtHz3SIfFkbzVZ1yUwRsFKJ6pQCoECIQDNH2zEBDNIMN8BF5DP-v9T9o7J6kcGW0BxC508Zcfotw%3D%3D,レットブル飲んだから出来た#shorts · @みんなの日常,9K,549,@별냥이들
pick! 대답하세요.퉁퉁퉁 사후르.,https://www.youtube.com/shorts/IQcb9qI1rLE,https://rr4---sn-ab02a0nfpgxapox-bh2s6.googlevideo.com/videoplayback?expire=1756894201&ei=mb-3aMzcCN3I29gPwNnbmQM&ip=1.209.175.55&id=o-AMY4yQDw2xmB2_SLDPgrXGrqjEh3W0wRkR9BNmMrPpuo&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872601%2C&mh=LZ&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2s6%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=4&pl=24&rms=au%2Cau&ctier=L&initcwndbps=4183750&bui=AY1jyLNDx97wMr9qnC704Qk61w384Dn-facziIi_h7FNnPQ82sJ8_bizL6DHSKBqDNlaS_1Jkp8-jVD1&spc=l3OVKV66Azg2aLPGlM3MIL2sHswyo7e-WaKfVTenpt3E_eN5cFT54kKikMHp6LIj4w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=Var4tGdjecURsI35PR-zEcAQ&rqh=1&gir=yes&clen=4467212&ratebypass=yes&dur=59.946&lmt=1749239572363482&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=Nrc9_CtQ0fLbTg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgX1XpIyG9xVEQyjfEJsBfa9zEV-FKBLhXVVhacwovUvUCIQD841Os4FrUzZG-j-vcQ9gWg6MDiiMpmXe2i3gcM-aZKQ%3D%3D&sig=AJfQdSswRgIhAIXVulmhDO1LiPa_FHkXJ6epqwwaehmcmjpBLheGaBXNAiEAqn1YKAAIM_wNwu0zA9AZTO9hS5dbsQMjO3k626NtpdA%3D,Midnight Pursuit · Creable Music,7K,880,@뻔뻔스토리
누가 가장 강력할까? 퉁퉁퉁퉁퉁퉁퉁퉁퉁 사후르,https://www.youtube.com/shorts/OjUrg1zM6nU,https://rr4---sn-ab02a0nfpgxapox-jwwy.googlevideo.com/videoplayback?expire=1756894201&ei=mb-3aP6iBeeM29gPlvSq4AU&ip=1.209.175.55&id=o-ABnkreCOeJYRGsJ-L9mQRyWxr2Zst4jTm54GU70dgEkz&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872601%2C&mh=I0&mm=31%2C26&mn=sn-ab02a0nfpgxapox-jwwy%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=4&pl=24&rms=au%2Cau&ctier=L&initcwndbps=7247500&bui=AY1jyLNa-fynZbqR9MF7dI-g5b71fWBhItgcDFpbdaCb6IU2Fc8xX7MCSi7qwHuHGc83ISwHXcP7zabm&spc=l3OVKRAXVG7ZdQPbzNsjiitTzGZb3e1o_6RdPIaOiorah4R7e-Zw3z2EXzhG9BwexQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=oaqSvhfDsu0ErAzVQK2zL5EQ&rqh=1&gir=yes&clen=2458504&ratebypass=yes&dur=27.669&lmt=1745229784838249&mt=1756872074&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=R2AnX4MKDRtW2w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAKumPMUYfc8ibAp3bEIWiWKyDihdEXg_8clV9RURstOcAiEA3Muxy-6DIEKZiLPkGlmWqNIPGdwTZWL4zqzaH1D0wMc%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAKyhAodkz0BRAtOM8eUQGIsKTjsouOBd4gMW6-FMVpqLAiAVD3S_VLA_80ayiaHsFzaGEbqiWU3rYu66QC0t-2vV4w%3D%3D,,17K,131,@hello_child-83
퉁퉁퉁퉁 사후르 vs 뚱뚱뚱뚱 석여르,https://www.youtube.com/shorts/wxqDu7NbsbE,https://rr2---sn-ab02a0nfpgxapox-jwwez.googlevideo.com/videoplayback?expire=1756894201&ei=mb-3aIKxAeab29gP25moiQM&ip=1.209.175.55&id=o-ADetXRhDcG8aoX1iE-ztUKbqTacAUUBwbVgVoPtGfavj&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872601%2C&mh=aP&mm=31%2C26&mn=sn-ab02a0nfpgxapox-jwwez%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=2&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5463750&bui=AY1jyLNyzkMX1mjuyHb-trSzdr628VK9fsKJQYB2SFT2s1lxzQ4cESAFYumhLNq-vYpvOFDE6XA5zQLg&spc=l3OVKWNs7g7JN153xN79IRSMaqdB49f0kt9gD5gon-dv4NXa3_8vH_aGQ49TjZ-mdA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ppAXytohEDMTKmVKAI5pcjYQ&rqh=1&gir=yes&clen=614655&ratebypass=yes&dur=8.853&lmt=1745648321431740&mt=1756872074&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=tvKhuIs7uKHiXg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgIIjSBK8rFiD5bkLr_F7qrPBBfS_7DT5kXl4b9gCLZBoCIQC1RV23WxU_NppaTNbmox-5A_vjop0ZjsViUlYBZ5_iQw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAImRSiPGyM5lLASeBlPjnfMPgAMb-loHhLp80xWn2lerAiEA08ApDBJuzkLyXfZ8xQm-GIOtqDzvAJ_qCjBJtsvqbD8%3D,,7K,107,@한지아7
(퉁 퉁 퉁 사후르😱 그리는법!)#art #roblox #speeddrawing ##speeddraw #memes,https://www.youtube.com/shorts/Hw5jNn_VmtM,https://rr2---sn-ab02a0nfpgxapox-jwwez.googlevideo.com/videoplayback?expire=1756894211&ei=o7-3aOPpLNyP29gPqPeHqA0&ip=1.209.175.55&id=o-AKe6HEHhQ7I_jUqXa24dXtUIVmMXyO8bs1sbRwLm5aZO&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872611%2C&mh=rr&mm=31%2C26&mn=sn-ab02a0nfpgxapox-jwwez%2Csn-un57enez&ms=au%2Conr&mv=m&mvi=2&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5463750&bui=AY1jyLPCekb9aiK2uOGyg3GndMsKqi6wP1m539CVypK7yN6lFHwB5g50Y2hC8Kpvui53RBdcYsrGqGix&spc=l3OVKc8nAAGYTGDwoBm0YvuuH2hybhSE7c-bu7Gpy1bldMja7MAuAIthi9MnA52_hg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=FTcIl5eHRGVB9haiqwtcJesQ&rqh=1&gir=yes&clen=1230898&ratebypass=yes&dur=24.277&lmt=1744542910433461&mt=1756872074&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=XQ98fOgJBoSCdA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgfh1UsWnfKaCH8SZFRsM6BY53OjOy4g9Z_e7RUavmXf4CIBoXj0knulinW3ARhGkKdRUaytV_jo0nkRPS7moTcz9I&sig=AJfQdSswRAIgawvS3iUgKVP6UtxOQcI9kUgXfmAxbXiINrfblWxHQUACIEPJsYD6DKCSIaB6boVG4I_2yKYchS5Ci5NqNXdOX_Ep,#art,10K,586,@GAM_0
어무니에게 퉁퉁퉁 사후루의 강력함 알려드리기,https://www.youtube.com/shorts/wIQPVCtWB1s,https://rr4---sn-ab02a0nfpgxapox-bh2e6.googlevideo.com/videoplayback?expire=1756894210&ei=or-3aN31EPKJ29gPo6nA0QY&ip=1.209.175.55&id=o-AA_Xx8vqyfbUgvwZES7cWkD4ia9NAKXt6s8R6bwGR08G&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872610%2C&mh=pb&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2e6%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=4&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5336250&bui=AY1jyLO9tFtITlWta0P1eFcld73QH5DOCSkkkNgj3yMvYi0geIZ5C5NSN7DzkEA1uQtfIk1ZWKmpyX84&spc=l3OVKctU2oanafUYKx3KSoZ8-GJPS3zj0sKEk9DPE1CCa_lmSbrkhkpxFmhNtGik5A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=VkpbEyB-jB0-Ylvc7tHJNf4Q&rqh=1&gir=yes&clen=523087&ratebypass=yes&dur=7.040&lmt=1745491889189816&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=6ap_yboaio9GZg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgBkfiej8xTAHEFCUsiLc6Lp1CrVtdH6MxJ4MtYeEXazUCIQDPImOGSeSvd-xHgPTDJvSz_S8Gve9Td4eUeLrj0iWzUA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhALyUR4ffjaGfHbG1ZR7_Z4Xka1old4Rv2dX9Z1t3L40gAiA9hmnEDJeIYy7k2lb8B0ph2HiJAvuAvj8cGZR6nxZ07A%3D%3D,,1K,480,@혜찌
퉁퉁퉁퉁퉁퉁퉁퉁퉁 사후르의 정체 (풀버전 관련영상 클릭),https://www.youtube.com/shorts/NMorVqnw_SY,https://rr4---sn-ab02a0nfpgxapox-bh2zs.googlevideo.com/videoplayback?expire=1756894210&ei=or-3aOjgLPmM29gPxd2m4Ag&ip=1.209.175.55&id=o-AKEl3HezG9dXGtl6Pw8O7ZdESjWsP9NFqHpaCcLCQECy&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872610%2C&mh=M_&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zs%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=4&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5496250&bui=AY1jyLMPV9H5VqpEFuaf8Ss8neIT8pLIleMHcG2UB1sJy0_uukBBf3R3wvn09MneJBKBTy6uY7aZfSAj&spc=l3OVKW795f_cdUiv4v0LAtG80sUjt52ov7iaPPP29MLdLXXOSeRdKgCpc9lxGhvWiA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=G12Tu-RFHIlYicDc9RV9yIMQ&rqh=1&gir=yes&clen=1930328&ratebypass=yes&dur=25.813&lmt=1746162862587812&mt=1756872074&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=VMLCczMY3gbddQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgaak_aVPgStusGjdFbYkm0ynXCpzSGSfSZ0Kb-Mk1fIoCIEEikhk7G2CmJmkB2aMzawr54bkP-TLTRZbdBYK_35Kj&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgcjj5OMiv9-SncveZPqB9V0ixthHQ7V_F2p_6jZ8KBLQCIE_mejhKnp2_YpLrYSBJGAgUlFXuzHaboU61oXWMaN0i,,19K,68,@요핫소-요즘핫한소식
퉁퉁퉁 사후르 타타타 사후르 🎶 (여름 휴가 VER),https://www.youtube.com/shorts/51gQGsDOgU4,https://rr1---sn-ab02a0nfpgxapox-bh2ey.googlevideo.com/videoplayback?expire=1756894216&ei=qL-3aMOWBYzd29gPhaz4UA&ip=1.209.175.55&id=o-AHoQvrLR9Di0RedGuXjr3Qg6-Djxwffa79MX7wyJNW3l&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872616%2C&mh=8F&mm=31%2C29&mn=sn-ab02a0nfpgxapox-bh2ey%2Csn-ab02a0nfpgxapox-jwwr&ms=au%2Crdu&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6237500&bui=AY1jyLOWyjRgsKy89xyyfNBulo-9-gedl72gSCrJIS83NuzwEuT_hJSxDPVKiOl-9Z_xfW2DsLJsyFnL&spc=l3OVKX-0enUtEm6OHvtoiRiprbWJAbjvbdVh5Am0Iu0jnegOvVVEE8-JIO8k4MbAOg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=o8G4ixpvpBqz5TNZqTg94iQQ&rqh=1&gir=yes&clen=947768&ratebypass=yes&dur=11.328&lmt=1755948220428650&mt=1756872074&fvip=7&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=ZKRncO5-IrEbdA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhALdPqiCWtub7nuuLOgHaQ1yoIBSdQoM8tnZlDs1V08ylAiEA3hG0-pUorCqBMbbStpJp_0Emfmb09aOkoCbZV9_iATg%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgSd5ZycG4bBKK4sssfB7A0RJ-3Pu6Q71M7ZQVxKcCDoQCIAHaY-7TLhopJwj0SUKz58BmHG2T5zQwcqcxM3_sskSa,퉁퉁퉁 사후르 타타타 사후르 · @오이-w3o,13K,119,@AIA-축구선수블루몬8867
퉁퉁퉁퉁 사후르 #tungtungtungsahur,https://www.youtube.com/shorts/nzi2wvasHfY,https://rr6---sn-ab02a0nfpgxapox-jwwe7.googlevideo.com/videoplayback?expire=1756894216&ei=qL-3aJ7gAabl29gPgfqrcA&ip=1.209.175.55&id=o-AMg1b6jA2wGZo3BylHp8doe2j5LDv7htbLgQtnIZcqRC&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872616%2C&mh=g3&mm=31%2C26&mn=sn-ab02a0nfpgxapox-jwwe7%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=6&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6283750&bui=AY1jyLOnDNooyYZn4Ctov3SLCi8JnnZ_PM6pUsQ2-Q6tl8rPoi0RH02VjznOI7ssUjoE9mzOX2f4Y4TC&spc=l3OVKbfKRmDwr8HkrlzAs9JKxgsS6fLbtURHKG9vwb43kfP4_JnBjlBr65f1zhJp_A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=fsVNdlEdKmCuWgfsYzNzddUQ&rqh=1&gir=yes&clen=745459&ratebypass=yes&dur=10.026&lmt=1748286570696063&mt=1756872074&fvip=5&lmw=1&fexp=51514994%2C51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=kV3M-iAlz5Td0A&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAIniQWVqJepVPH4DmRbT3FFdDRXgtowgmlCpqkdQtJauAiBV4xVI7jaGJ7J6zBeLI3Opd8Xb44k7ZyuoQb1IbMF4vA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAP1y-tFGUsYQfaeRseRAjkuFExE_bAMhNxSNhxd7jYbMAiEAyux7xrgCY9c8PuEwOGFIZb3AaJbFOoC0uH6SjdqYJ4c%3D,#tungtungtungsahur,4K,569,@HyeChu_1
