TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
테슬라 모델Y 주니퍼 RWD 풀할부 유지비 얼마나 들까?,https://www.youtube.com/shorts/5zQ8mZGPkH8,https://rr3---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1756823187&ei=Mqq2aKj5PNmJ29gPh-CUuQg&ip=220.72.66.139&id=o-AIGJqniiyyCnJ0THs568aks8SGXi1if9NsuD2cwC-T1B&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801587%2C&mh=vv&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesndr&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&pcm2=yes&initcwndbps=4002500&bui=AY1jyLM_MSZ1zf7Am50kaQjfzg9wuDjYlakMJyAbZqF-x_LZXRxnzTmo0DgUDux1faZgzFN5b6E5p2hZ&spc=l3OVKfItsMKle2RZi__ODaRf97vE8G_RdIolAOaVrTF_0RzpGOxn4fX32P6v-LZhBg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=-dGI_OAw8BZn5q-v5YDvPUkQ&rqh=1&gir=yes&clen=3371711&ratebypass=yes&dur=44.544&lmt=1749013253702929&mt=1756801056&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=n1MPKtKbaL_tww&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhALDmF2WY2DlZYYqmWLowEkVncRJeKnqyhR-xjIbvZCa9AiA3UxrXbw1lUTSs4yt5VdfGrd3lRoz1dI3S-BVIZTAPYA%3D%3D&sig=AJfQdSswRQIhAMc_FAXjEol0r3btwaTa81eDNP0clhXGCNveUHxTanVcAiAqnq_V3F2aDaRL96T7SvRv8maBdO1lXf46GBIxMtrBzA%3D%3D,Dreamy Reverie · Rhymora Music,19K,872,@JamesCAR_KOR
테슬라 업데이트 음악과엠비언트 라이트 동기화 2025.26.7  #테슬라 #모델y주니퍼 #업데이트,https://www.youtube.com/shorts/DXFQEKn1hpQ,https://rr3---sn-3u-bh2ly.googlevideo.com/videoplayback?expire=1756823188&ei=NKq2aO_JO5_g1d8P-Pir0AY&ip=220.72.66.139&id=o-AM2XW5ZtXzOBb-lhAaTWkDGK86n0Pp1LWdQHNBi92ZcK&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801588%2C&mh=wO&mm=31%2C26&mn=sn-3u-bh2ly%2Csn-oguesnd7&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4068750&bui=AY1jyLOm29SMoY41clyuNCDtIT8QyBg29s1uLA_JfBlXAAV34JPJGUFpFx3I0si8QbKVrOFDpbAYHsgy&spc=l3OVKcDJG4M9JSEs878h9-q9Vjdo6BO3cjbkUKUkRG6nlE0HOFTg7n1TasyzUg3O3A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=iqaKCFJ5Nu7Mne0WGn4xf5gQ&rqh=1&gir=yes&clen=1359123&ratebypass=yes&dur=18.090&lmt=1756764182027867&mt=1756801056&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400534&n=yeqZxqSqUy4q5g&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgQVecOTWs_i2NeoYGpkm-6ggA6IZuQSZpSiinIIcrjM0CIAjig4W_dzLIQbKXOftrhFadOMYcAnFwgDSvAnkbGOdG&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgFqAJqt4oWMayzsFjWZsxU1StHdlLB2HdeVp7WVJYriYCIASVtIaylyqetS2GflszTxbYvbKli12PaD2zZxkSsB7l,#테슬라,2K,932,@mubini
100만 뷰 넘긴 테슬라 오토파일럿 수준 #Shorts,https://www.youtube.com/shorts/u1R8O2aRQT4,https://rr1---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1756823190&ei=Nqq2aLehFaWN1d8P5r2ZuQ0&ip=220.72.66.139&id=o-AAkVCMe2ivKC8Dp29yX3JEArFi-LohnX6XsR5nKCOLkc&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801590%2C&mh=ga&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguesndr&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3948750&bui=AY1jyLM9d8DNH2OvrGY_MLzjsNxMyA7TQ_08_RFrysqOxfcaDhyGrpIrxQT17upeKzdFXKINiU6MvHUi&spc=l3OVKUeVslK3akQ0PZFrbf5t8Xs4mkRxO6mkM95zOUVlbpPkxsixecm6_lgwbPM_lQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=DkMGOD2K86dmuHDoPvVbKZgQ&rqh=1&cnr=14&ratebypass=yes&dur=23.382&lmt=1710262318783791&mt=1756801056&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5530434&n=L7X6zc16TgXm1g&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAObTQ-fUOWJWZlhBQRLG2A2woFgoIK02PkCR6JhsrJzAAiEA_QrgsR186mZwlAWQoePaIGVf9vR1jkD4CqTgW01LGRI%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAOYAgHGtMY1-e8cyGTw0QNl4sTjsqsYG8rmRpUqQB-LxAiA3OUwgtERUn5pBS_4M8Vm8NKSxBVZqU7AUlgIoUpxT2w%3D%3D,#Shorts,19K,12,@sportsgwang
테슬라 VS KIA 실용성 비교 #테슬라#shorts,https://www.youtube.com/shorts/q-WJ-HFU2_4,https://rr8---sn-3u-bh2lk.googlevideo.com/videoplayback?expire=1756823190&ei=Nqq2aPb1IJ2W1d8PuICqyQQ&ip=220.72.66.139&id=o-AGeTUS-bXi0elEK9R8dGhDvSHYEtqtwc9tLECbCOoYh4&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801590%2C&mh=Ac&mm=31%2C26&mn=sn-3u-bh2lk%2Csn-oguelnzl&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4060000&bui=AY1jyLNhMDw3iviyoWpgrvnIJKsZROKEU_76zXizJTWLVuhgiYp_G-3hZ42YvZplt6DD_qv4SYlRe3zB&spc=l3OVKUtcn93HhARGiZD0OyNoO4i-kiP7Q3d9GeCCial_ksCkxIqGyztsrOlZ9-Va4A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ZVqhjCNI1C1eOO2cABGebFAQ&rqh=1&gir=yes&clen=2789175&ratebypass=yes&dur=37.397&lmt=1751708492664232&mt=1756801056&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=nEwCGwcS6Kl8KA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgc5A80PjV360QCBubFOI1DnGG551ppmyYmw7gjcxBG_ECICdQaYnO3TGtZtpoYD5SiCLPlQsfPLKwZ4bMtmi0y1k-&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgVp6wiyZgD1KQfOEZmfWdmmkSkdcpGWjJ_uy2LpF_9EUCIQDZ8GrAportMFiLGsfUSHHCc6-qMSILia887lzjG4JKSA%3D%3D,#테슬라,17K,826,@머스크의모든것
전기차가 개꿀인 이유 #전기차 #장점 #테슬라 #테슬라모델y #모델y주니퍼,https://www.youtube.com/shorts/IXQzx2kJCpU,https://rr4---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1756823197&ei=Paq2aO_6H4uZ1d8PgPyzsQk&ip=220.72.66.139&id=o-AF2aoCs-8ZWCG1yuD-4-OvgxIUMXcdgux3E84oRq4TEz&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801597%2C&mh=IZ&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesn6s&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4002500&bui=AY1jyLMQE9CUootjDiTh48J6XxjTfxmISYdlgqttGta_i5kdc8g4CTGPsfjwQEm7RC26m0_nygoFrV90&spc=l3OVKe1XBLrlFhPBAqFHdPmO2IZONg_y9LBR75P6hzPYbJwtEom_yEFBBz5CFVRLnw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=mRJvSzFLCjtO1UMeMc3YZZ0Q&rqh=1&gir=yes&clen=4384867&ratebypass=yes&dur=58.816&lmt=1754220414751982&mt=1756801056&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=1mLm44ahVB9Z-g&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAM33J1lI-YDRDXRxpk9RWCgZ8jnYqqdZkQKm1_JjKHziAiBhC-FwZvvyPCFFaWk-sC-LZoSrjQGOaVUlMgtkz3A7Qw%3D%3D&sig=AJfQdSswRQIgbNDsMcMfT9hIdWoaDzFmn0J74jZCfAb8T9HSiBX8wW0CIQDhwbp_zq7fB9VAm-262rvIjp40H5T_TZ10qDthY8e3cg%3D%3D,#전기차,14K,987,@효묭이
미래 테슬라 vs 전통 벤츠,https://www.youtube.com/shorts/nQybaC6XxE0,https://rr8---sn-3u-bh2z6.googlevideo.com/videoplayback?expire=1756823190&ei=Nqq2aIyOIKGU1d8Pks-E6QM&ip=220.72.66.139&id=o-AEEcojysno65tz53ReGl05kbgYtgHIm_rd0dkahM8zWV&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801590%2C&mh=gb&mm=31%2C26&mn=sn-3u-bh2z6%2Csn-oguelnzy&ms=au%2Conr&mv=m&mvi=8&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3981250&bui=AY1jyLNIg2oA4bBfmKOHH5VA_22NcayMiTIuJ7JsQ3exqedtHptKh_G9Tybl_EQiXftFtgKNv2-gxY0B&spc=l3OVKZnZFTmUg5tFCGwo7aNu_cxzVJeS3oeCsGa20z7IXAklq2AFz6bjTYH4pGxGBQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ZGxS8sQjUc__6UDa9nvrt3sQ&rqh=1&gir=yes&clen=1030544&ratebypass=yes&dur=13.866&lmt=1755877857326949&mt=1756801056&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=qPbS8nJdGcmM_A&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgFN8AoYLmGRaOebVD_mj7GYnGEylJpH65XYjEB0IFcukCIBkIbvJwqBJNkFj_3cXlRhVV15meUZXJvN8V--O3tq6B&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgH07gdAUV2P5mqMmpYG2k_Dg6RF1Xdu-HMtlXP28L9msCIQD1iXPlmkIjUUrGtj9fqMwEKBX8NeU2sQAs92df5tMG8Q%3D%3D,,6K,96,@MuskLabShorts
테슬라 서스펜션 이 정도일 줄이야… 아우디·레인지로버를 압도! #테슬라,https://www.youtube.com/shorts/OCccNNaO1a8,https://rr1---sn-3u-bh2s6.googlevideo.com/videoplayback?expire=1756823199&ei=P6q2aPa8MIuW1d8P7Zfy8QM&ip=220.72.66.139&id=o-ANJ3AjLMHMHjXjNhjAAIDdqeajgjm35n_zbdmqs3ysU-&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801599%2C&mh=vF&mm=31%2C26&mn=sn-3u-bh2s6%2Csn-oguesn6s&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3667500&bui=AY1jyLMV1FKXXJeDy0QzuXkbgX8u_xYPY9sYzDwvYSt9glmB9sabTj0fihoB6XqfxZwk3j6jbSLC2HMp&spc=l3OVKYRg4G_8pk6G17Lb5AuX8p2y-uEVpmrAZkqZXIKmRLuRCInmnBRJXbsyQE8TyA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=re6NbViyLj0dXAWX6-Hx87MQ&rqh=1&gir=yes&clen=1806364&ratebypass=yes&dur=24.874&lmt=1753269672225263&mt=1756801056&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=AzO008a5xbntsQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAMWkr9Z-8wX7thvon5AP8DE-e_rvnJXOgfOQ_4pnl6vnAiEAtErlgzvmmLcbBS1qnwZiQYWXopXICB00aIZFrpT3jck%3D&sig=AJfQdSswRQIgGfVF7QWa2l6fw2DApfOQJNFKCk5UXudqvbOmMXvwHDQCIQC__1ovliHVqeWgg2za0A_55spTzDEQJEbTUfRxuNPJ9Q%3D%3D,#테슬라,16K,577,@머스크의모든것
'테슬라모델Y주니퍼' 실물영접✨ 왜 안사??,https://www.youtube.com/shorts/vdofMPQjb34,https://rr4---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1756823200&ei=QKq2aIqJOIeJ1d8P_dmwgQU&ip=220.72.66.139&id=o-AKZx76jarvGc-lpZyhKqMV3BOGRAId-XtODHOPdZ4LH3&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801600%2C&mh=rl&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguelnze&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3948750&bui=AY1jyLNpJwTwEFbj4u5CFlja2XIWER-Nudatwkb_XFjRqPeLeoqieWIsTQVlfYqCXvfrQvXBosY57qdp&spc=l3OVKSSzh2IBHAbF6A6v014w5zVEuPYoGqSFzNI5rgVgprk4bJeVfxcwlnyEFTFxmA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=0lP8YlrSJubg4khXbbnJ0GIQ&rqh=1&gir=yes&clen=3620969&ratebypass=yes&dur=48.256&lmt=1742353879455059&mt=1756801056&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=fqpFX2BzbgkiGw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAJ8iyuO6Rhp-oomnknHHEt9tQbueDSRJO6GFRBCzysR8AiB0YEmMc8F1Ve0lReZorvMkQRKejJLHFB0Wa-xzGFecaQ%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgYRuGN_mAMY50irVBLO9ZL32WwpHafLlpRPESf_kGquoCIGJ2_jqWHtRAzKLHzg-OppQ-rPWGww-FbuhHM76Iy8cQ,Every Moment With You (너와의 모든 지금) · JAESSBEE,11K,118,@KMignon
잘 모르는 테슬라의 미친 기능,https://www.youtube.com/shorts/ZBpyQGDt-34,https://rr7---sn-3u-bh2z6.googlevideo.com/videoplayback?expire=1756823196&ei=PKq2aKCRH6Ph1d8PkZLG4QQ&ip=220.72.66.139&id=o-ALmawPEt2No7t_B5e5fN5FLlh0URTQ5UmvVX1hbQWfo0&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801596%2C&mh=IE&mm=31%2C26&mn=sn-3u-bh2z6%2Csn-oguelnsz&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3981250&bui=AY1jyLM8bmP7L1KgnqA05ut5WQb_SbLLqWObbPpXB9-zLJbivUOyNQxoB-KUq7kTLiQCDjnnRrT2mXmi&spc=l3OVKU1GjM_9Tp-_1fqtzzJKQ8BWn5I-arL73bU55yA5OnZEhXb94o4gtV-JR8M7ew&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ILzrlxacMBWSJCnQ09B2RkgQ&rqh=1&cnr=14&ratebypass=yes&dur=34.992&lmt=1741216931865386&mt=1756801056&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=CsQxKVvuaLVR9g&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAOq6WxPBdFbX3TLyCLw4IbzzBmtG_C-96FLo5LT0lPi9AiEAiDOFroNBXlKwFY8Mf2izBLWGaGoJwi9uMxRUKI5OOcw%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgQgbRVyFQhUFqaEDSwSUFMjou2lmaeZMXGv-jBT3k6c8CICPiTz2jUcDrDgbBMEoJTHA4dPlJ_mlLiDGWFnPRZaOo,,6K,471,@mpg
Who said that Tesla used cars are finally starting to fall?,https://www.youtube.com/shorts/XQNweW0Nosw,https://rr4---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1756823205&ei=Raq2aJDoJtyV1d8Pz9yMkQU&ip=220.72.66.139&id=o-AHYMAHcOzyKrVtYrxRqDSHeImCsPfdXlyPOAmxhasUTH&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756801605%2C&mh=-z&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesnds&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4002500&bui=AY1jyLM4eyk6QlFe3B_3VNzPm7A1cw41AYM5ilbEF3ef5PvnQ21HUk_im1xJZyWfNn1SnlrJ7MvB0ESu&spc=l3OVKTsehYk1EuastfFzmqw6T75ZNyuizsbCYyI0jElSQsaIJwjgWgo3lJQTiTbXsA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=EJ-thcrsqsZL_QO1TQGwXFgQ&rqh=1&gir=yes&clen=2862459&ratebypass=yes&dur=37.568&lmt=1752144810404108&mt=1756801056&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=jbTzx5kIDy0uNA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgYRYrRhUF59OyXASMVF-PpErBSpwv8gOMYqinpJqntm8CIQDk0OoVh24hj-XSmr26zBly204vxFl9ZcUE9VU7eq9OJA%3D%3D&sig=AJfQdSswRQIhAPCT0Gpmf9NKpl-zLAKbrw9SCEQ6QmReHMDTItF_ocoMAiAdRrpnpplieuvlNAZ39lQ2nrK1G7rVwaQu5JeQmTGGqQ%3D%3D,Citrus · VML,6K,609,@kimnukim
