TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
외국어 배울 때 특징 #태국어,https://www.youtube.com/shorts/RYeuUKpJQWo,https://rr6---sn-ab02a0nfpgxapox-bh2zs.googlevideo.com/videoplayback?expire=1756894453&ei=lcC3aOOpLfLopt8P_faZ0Qo&ip=1.209.175.55&id=o-AIG_zKkWRsHUHOAh94AVhT_2lPTxJGxAMmOoOVzl6AS7&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872853%2C&mh=Qi&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zs%2Csn-un57sn7y&ms=au%2Conr&mv=m&mvi=6&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5496250&bui=AY1jyLMtXnyI2MCQdOnykAfnCSFY5qV1L7hPdJy94tafx3HB53gHVCy4zVU1b_oYMcKWreCiL0k24BKP&spc=l3OVKaaJc9q-tVQVNw2MzVMY-5-ctuOQTr7LGD5fLnf3Aj5PIk_rh_q-lbWGFf5EhQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=RvsBWGKPWLNYLHZQc-KHVBgQ&rqh=1&cnr=14&ratebypass=yes&dur=28.862&lmt=1750504203083562&mt=1756872074&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=7yQo1Qhkz-3YDw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAPjEi8TppAdptcjzSFJqeAtUxme0A8I6uvle_Seai7muAiEAo_ET_hxK6WGD-m9t6LeXyAYwosZ0eb9E0YLK1Db1rA4%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgHyYrzez6QS4IZC8SnSoeco60SkDGuXXVk0Qikyfbn4MCIH2qgcXkqAr5xJOJ8FVj-JyqE-ISYt-ysNF5T6iuDOTs,#태국어,14K,592,@Pultogi
태국어 과거형 너무 쉽죠!! #ภาษาไทย #태국어 #태국어배우기 #태국어공부,https://www.youtube.com/shorts/GtRkTNpI6LU,https://rr10---sn-ab02a0nfpgxapox-bh2lk.googlevideo.com/videoplayback?expire=1756894453&ei=lcC3aMi3NoCEpt8PspLliQ0&ip=1.209.175.55&id=o-AG7D7ey_so3Ynv2U5BxCwBwFQgowkUcpefWAYl0DAwJG&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872853%2C&mh=a7&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2lk%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=10&pl=24&rms=au%2Cau&ctier=L&initcwndbps=4740000&bui=AY1jyLND5k5WzpSy-mGLVRvstk0KZmfcXWHJboFNsL1UnktVvX8soY3vdEWlhYZjKVGVdq0_2hC57VFI&spc=l3OVKehdXACTl57pZR9PT3y1xoYQxTuqi9uj6a4Xs2VcbZg1eL8BsgImH9T6MzJUDg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=CRRdFa6c5b-I6ZRhw7hduXoQ&rqh=1&gir=yes&clen=2521896&ratebypass=yes&dur=47.722&lmt=1734875836803301&mt=1756872074&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=JG59HKcDxdVPNQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgS_UXlvzQtaMx6xbDEoCUMKyf50L000QH3FT0EXlzjnECIQC2yA9EkBvuP74YLZ0wdWfJGdgfKbSa6S9CGot9WnBZAg%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAKqfevp8gxSDcwNOgMV20s3wE2VFpB94cGFDnAqEoyOeAiBNCKWjRP8sjIOsk5ECg6AK_8EgObCjQmCFV4IQ_tdRgA%3D%3D,#ภาษาไทย,14K,503,@khem.thailand
#태국어 #태국여행 #여행태국어 #태국어배우기,https://www.youtube.com/shorts/_T6U8kbYrzs,https://rr1---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756894454&ei=lsC3aMeCKOyYvcAPjcaV-Qw&ip=1.209.175.55&id=o-ACkr__j_670NV8EuIwnYASlArBOLRHZIYDUuYJWrZihq&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872854%2C&mh=sX&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57enez&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5592500&bui=AY1jyLPEjrrkXT2wJld-_bnrVjAV19kDreGdWYbbdm66Gq2mpKji92lg0lE-GDm2y3dsrZYnIxgTymfa&spc=l3OVKX6uFRuHOEbH_2eNbUa429BPEH3Sghs156M_DJ9bygdTnN8pj0UhLnOqaEmCiQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ab7KYd01yplKIBWDg6aKWyMQ&rqh=1&cnr=14&ratebypass=yes&dur=19.783&lmt=1750635537576700&mt=1756872074&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=ZdxBfZxsJav2mA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgdgpYAjsWKMQ0u3WHAo8SVe52ROifHq6BXpt90iKOzgYCIQCz62gEpUBMlj6jW2daTW5YxH99CKx09F621kQOocOO7g%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAIewcCM3GDI3gB7vDBuvQl5XilNYr0wv5CSM4FHWfwvXAiEAk42BcqfNw8ubd0rFbkQQXmxjZfm8fOdfIaFKunUhFdg%3D,#태국어,7K,114,@미우랜드
매일 쓰는 태국어 표현 🇹🇭😎 #ภาษาไทย #태국어 #태국어배우기 #태국어공부 #เรียนภาษาไทย,https://www.youtube.com/shorts/m_2b7jmInMI,https://rr3---sn-ab02a0nfpgxapox-jwwez.googlevideo.com/videoplayback?expire=1756894454&ei=lsC3aI3fM4iEpt8Pl_KM0As&ip=1.209.175.55&id=o-AKSc27bQQ7YzX7yk-H1E-3zr2L7w0reeKck3Phz8lzlP&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872854%2C&mh=4O&mm=31%2C26&mn=sn-ab02a0nfpgxapox-jwwez%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=3&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5463750&bui=AY1jyLM68ZHePI-lyVUUnZ983tA0gEy6Sryt15JLmQryo_q01Xb-zJPc2Sulh-QRtkGk_LxCnv_eUZc8&spc=l3OVKei9YxeXxTxjZRWJ1oerp-fPHSb0w0RfKC5Hi22mdz_1aqxNVv1N5rpIkDadag&vprv=1&svpuc=1&mime=video%2Fmp4&ns=FmasxeBr6PNyz_b9bAEY-JQQ&rqh=1&cnr=14&ratebypass=yes&dur=52.732&lmt=1754594182363815&mt=1756872074&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=7WbakzYcRKyDsQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgG6ytr7dKyfFZjJr4iXqpwM25Qv7k871qfksqUNIJBLsCICaykpBw2MstslXlEdrPYCHiLBrbHcf8G7Mh360Pg9Xp&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgYKlvYirbfPdAC3GBTlvDpYrbwRCAUXiS5Tvd05LOSMACIQDHhcA7_LpDSYx0iReWxk7zmGKlKhpRwk2emfeXGYweFA%3D%3D,#ภาษาไทย,12K,515,@khem.thailand
태국어 성조 빠르게 배우자,https://www.youtube.com/shorts/W5xCXkvxZ9E,https://rr8---sn-ab02a0nfpgxapox-bh2zs.googlevideo.com/videoplayback?expire=1756894453&ei=lcC3aLyRLeSR1d8P8M-K6QI&ip=1.209.175.55&id=o-AAdA1tF8ZmZfTvdMiB_ZAnVrH6z_kPp8kpb9gDO4ED0P&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872853%2C&mh=vy&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zs%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=8&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5496250&bui=AY1jyLNVD7jHO7nsWdakwl-n3dJOrwpeQG9N99SzMpPA00A5mbtaNSdAHs2XdLfLj66I5PIs9qsHRxuT&spc=l3OVKWAxiAe2nAuxMv19e3FIozQPfJ9bb9TtNB6WUhAYzh1Va9weHaMTuuw__Krm0A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=Iu-iVo3w4fGyWFX8z2Z6smQQ&rqh=1&cnr=14&ratebypass=yes&dur=36.966&lmt=1660947674014611&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=KAVwianVA02d2w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgURIxzcn9J1wVB-1x6vdlwYGaWLJB0ypYPeJa-m_IDfsCIQCj_tOx8hpof8SX3PMKrEtZOjygQILX7du-4kLRda6uRw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAOD5ABv5JSEOUEU8oGyWmZtT6rXOD5Hlwd4-8ngLqimOAiAFVqSsozvzkYtGFuqCxNIjoDRrJfx7cR195fK7p0TSsg%3D%3D,,7K,795,@3sdong
태국어 가장 쉽게 배우는 방법 #mondly #태국어 #외국어,https://www.youtube.com/shorts/qjQV8Ib-pD0,https://rr6---sn-ab02a0nfpgxapox-bh2ez.googlevideo.com/videoplayback?expire=1756894463&ei=n8C3aK7XBcK629gPquno0Q0&ip=1.209.175.55&id=o-ADWaZcjJUPLmdPf1H1Impxf6dLzKYj1xypGsKr7wxfIE&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872863%2C&mh=h5&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2ez%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=6&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6331250&bui=AY1jyLP4lFUP-yb0n4B71JiVXqDKGLg23FAU-_PHeVTKFuchitVBelV9TmjElStKFqnFwS7-7jUEndwH&spc=l3OVKVr4k9T7XXAk042ZKONv8oypqfH1WcvFw5qavWyHIY4R2w5PYO913AKvxzepDg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=YRuV6uvzHnlGnju-Xig1wt0Q&rqh=1&cnr=14&ratebypass=yes&dur=19.922&lmt=1747935197596265&mt=1756872074&fvip=1&lmw=1&fexp=51514993%2C51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=15mUqt2MfDXlKw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgOE43Hcz1DlhEB3-MnQwHAj12gTxhb5eRZKE4QAwje-0CIQDFJwJKLMgrlvC6ap6iEAn9xHNTsqttF2zspk4dqsYRIQ%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgQnh-KIQiPwVglSLtuEtf_csfDmNAaozdBoWwctKNYf8CICc1AKVHo91xFHazv5M7yCputLkoqbDojqwCaCkVb1F9,#mondly,4K,758,@justforthai
"Must-know Thai: Beautiful, Cute",https://www.youtube.com/shorts/ob5ss8OIsTw,https://rr1---sn-ab02a0nfpgxapox-bh2ez.googlevideo.com/videoplayback?expire=1756894462&ei=nsC3aJqDApvbpt8PyJm6-Ao&ip=1.209.175.55&id=o-ADV_vQT0jEtw1kIzZef0k4q4SeoizfGRvjbv7EL4v475&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872862%2C&mh=U1&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2ez%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6331250&bui=AY1jyLMbMWqHazBYNu59S9gxyPKiYxPqE4NOxKfWtTd_9TRfPoGDymJN5Hjp3Wfa5dz8x-kk5jofu8bR&spc=l3OVKQBzBITFN-nTI_mihbusRSSXn-lrHJkMr9ORRGkmSBBjDjz60W8banPZDCZxLQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=VXxEhH-yLv4TnTsCe3WVfN4Q&rqh=1&cnr=14&ratebypass=yes&dur=22.523&lmt=1742084689183210&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=yJioBh245e8Zuw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgDsNIGd40NVMdhf7M0UQiZ7607p5V2OQXyqNxzBJLigECIEN11giO1wIzs1cg72AeaCTyioD5_FpuutZCU2Gl1-pe&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAKXtlw--tGaH4WfRtBPLWm_o9ofvrBS_-wkyRSajuPQ_AiAsb19OKRx6Gv3782RiiaQxnSOJdbMyNPqeVb27boki9A%3D%3D,,11K,102,@kimvoy
태국음식에 많이 쓰이는 기본단어 16가지,https://www.youtube.com/shorts/o8F75hUqNXc,https://rr2---sn-ab02a0nfpgxapox-bh2zr.googlevideo.com/videoplayback?expire=1756894463&ei=n8C3aN7OEr-Upt8P77WisQI&ip=1.209.175.55&id=o-AMBcNxzliVEBNvYY09NhH82gTpKs-7VjUQlj3LeyR8gi&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872863%2C&mh=4G&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zr%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=2&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5375000&bui=AY1jyLOLPE3HAx9s_LHEfFAan3trx4xmtFrNLNDb9Dh_YnFJr1dsCHX_D5FUslDSdSSZUtp9c2BGy-dQ&spc=l3OVKRIZ3GCkpM4UPQccB88sUtCPc9p4vtoHqljOJGvmIHxnUIMYss8x3tnxkRf9BQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=dRjzqaonvfGDgof2BT03368Q&rqh=1&cnr=14&ratebypass=yes&dur=60.000&lmt=1699239496693909&mt=1756872074&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=MjV9Jcb67QwKXQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgbOVTJm_qnB0ckH3WGDhgYS-pyPnEjFfHOJnW-hzGv_sCIQDotKbQA_XkzD64r1wC9Yi210Lf-hmMhCkyhXikLs3ZCQ%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAMhl3I_T4s6mJz8Ps2w2lLnjvsaBarSXqTs16-ybOi5iAiBiZ90DepzP3xz19p8jvTBDZHA4AHeVFmTBKGgEoEH5Xw%3D%3D,,7K,633,@yose_kr
Say the numbers in Thai. Say the numbers in Thai.,https://www.youtube.com/shorts/4x0ZZ-C7zsc,https://rr1---sn-ab02a0nfpgxapox-bh2zr.googlevideo.com/videoplayback?expire=1756894463&ei=n8C3aK3gLNeppt8PlpWXyA8&ip=1.209.175.55&id=o-AKaFRXxKoGCF9l4refiHFtSkV4AmVP-DEV74xgfTKewx&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872863%2C&mh=Sb&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zr%2Csn-un57sn7y&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5375000&bui=AY1jyLNLq2JLHRNa2flKlPWAhH_HKPlJPfC8-Rzs7GYIoRz9pZX0saGlO8fb3H3q_mxfzerj_oWcLa6x&spc=l3OVKYYAqPjnb_RdKKnaiW2bopHcLdVgwv2tecs1T26jrGl_hnOfMEaPNX7bB7ZJ1Q&vprv=1&svpuc=1&mime=video%2Fmp4&ns=-kRl4G2qlXjrTPKZ4Im5_W8Q&rqh=1&gir=yes&clen=635350&ratebypass=yes&dur=8.533&lmt=1756632368163037&mt=1756872074&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=nDwfMOXQx38kvg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhANhvifX_kd_Uq7L4qwdDOwUUTLKI1nAGh1vl1K7WGy7ZAiEA0WX6CUPJyMw_QVmBee0uUKb7jXAjbasKFcs_O5yoZ-o%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAMMghfxd88tod4-RH-inTicjUYcKx4z1e6etkvMSreikAiAlB1yGboDaqMIIVoWAVw7PaCVMNGezDdlUS5_-95njgw%3D%3D,,12K,795,@DaebakUnnie
🇹🇭 가장 많이 쓰이는 태국어 조동사 10개 #태국어 #태국어단어 #태국어배우기,https://www.youtube.com/shorts/pwDKeikLYbA,https://rr4---sn-ab02a0nfpgxapox-bh2zr.googlevideo.com/videoplayback?expire=1756894470&ei=psC3aIGAKpSzpt8PudON-Qk&ip=1.209.175.55&id=o-AAKXM_ePg0N5qzmLlj2romydbnMG0l0PD305mrnVy__x&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872870%2C&mh=cm&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zr%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=4&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5375000&bui=AY1jyLPBjtdM7DRtrv45lGVZcE6FMSumNAl59ftOYSPM0S_AiQmcazeNUjwFqEFQeyFOn1_uiKwyN2iL&spc=l3OVKc23aJJdVH9drX6yQhVk-ktVKPvo-Ch91pKubLLeIBr6RFLHPJpkUyXtDNGPtQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=EJ-BV1IekXmYnNMPDVkEO48Q&rqh=1&gir=yes&clen=2856338&ratebypass=yes&dur=83.605&lmt=1754911663203893&mt=1756872074&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=QKg_Sfk-0yF2-Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAKL6PhEHb2VIcM-GiCgloyalJMPzkv-xAboGHFKKCT2DAiEApiCgfbpj3l4npaovHwL3I7sCalXTal2sYpARx2YR5DE%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAO2cwXLKNJPQqb2p07WipdUVInBrvToQbEITFW6XSA3KAiAGTl9wkJVwnd33CO1ThfSSXQG-EDjgx9PsQSALOYm2aw%3D%3D,#Thai,19K,952,@날아라_쭈꾸미_태국어
