TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
"요즘 몽골 여행가면 문화충격 받는 이유 5가지(2), (몽골여행,몽골여자,한국화,몽탄신도시 )",https://www.youtube.com/shorts/sVdRYEKaDJ8,https://rr3---sn-3u-bh2ze.googlevideo.com/videoplayback?expire=1754622628&ei=RBaVaLqFA-bOpt8PgLKf-QQ&ip=220.72.66.139&id=o-AAA4LLKfoGtOoPPxi23VIFKeFl82tOWLMbVWO93E-7Be&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601028%2C&mh=El&mm=31%2C26&mn=sn-3u-bh2ze%2Csn-oguesn6r&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4143750&bui=AY1jyLMhrE85gbypI1vPEH19Fpc6IPLRVeniykdFPWAqK6qAZBY5k0yH8_SfKKv9omvkEE0OvHrp4Cs3&spc=l3OVKXnpUd52ExKTt4HW51sCfwByRUjHd4BIvNaYXQwmm2IUTmQYn23s6u1-FhtMvw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=RFKgKserEYTH4lBYK14OM94Q&rqh=1&gir=yes&clen=4280149&ratebypass=yes&dur=57.194&lmt=1750922810168876&mt=1754600466&fvip=4&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=4430534&n=zWVwyztRXUOR5Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAKY2IB4mW3RQC4Uo8cGQhnyzrltE84apgpJPMdz0c3bRAiBZiHvSPy68uEpYFYpOHsRAFyUti_mYW-GMHUb0RM08vA%3D%3D&sig=AJfQdSswRgIhAOfBF1__JAlBIl0a47f9uUjXTcXuscsayIvM0I6cuXMxAiEAnwzrffs9VGfw_PnUNqlFG724AIIMKjfNUrAZXigzcfo%3D,Dreamscape Whispers · Tuneva Music,7K,364,@oppatamgu
신혼여행 현실 feat.반신욕 #우유커플 #발리,https://www.youtube.com/shorts/dgOPygpRYGw,https://rr4---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1754622628&ei=RBaVaMjvAd7q-dIPr_aawQ0&ip=220.72.66.139&id=o-AGQrQ6JuR3Bl8Cdk2sqh22WAKl_UHYPwxGoObvTQicWl&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601028%2C&mh=3p&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-oguesn6k&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4022500&bui=AY1jyLMOjz9-uXbM-0CPaewBU-5vN0VJYCjn_9wJRupdXDlbWZuANOVQRg2Y06NuKamQ2YmOw7jkkwsQ&spc=l3OVKd67galKbdiUwUl-GGoTyyqwP5iEvENQk324EnhKoNc_CoyRhosom2unkyKJNQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=2_TVV841OqCsplLhijnYOhIQ&rqh=1&gir=yes&clen=1415713&ratebypass=yes&dur=18.986&lmt=1736422375523945&mt=1754600466&fvip=1&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=4530534&n=d6vMBSkIU0rsQg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgOhBYPl1r05xSms1wbAOu2OcnFy7IahZws2C5s8l44wECICnAWz2eKJSjNZ3aluxpac773MYxzmYzOMaaCvi63L9Q&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgfkIXt-hE82Zz6WduMn8vUnvvO03LhLt33yJ7SLbbSGICIBeSHBeyK4PzACHgypA0ZP9H5HiHPTurwXx6db41lWHZ,#우유커플,13K,495,@우유커플
외국보다 아름다운 국내여행지🔥,https://www.youtube.com/shorts/TOcO_T5ddq0,https://rr8---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1754622628&ei=RBaVaNeGCKCW1d8Pp8WHuAk&ip=220.72.66.139&id=o-ANNW3WFXnM8N525Do7vA3e9v25i_3EpRJOIkIhPTUvRI&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601028%2C&mh=mG&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesndl&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=3912500&bui=AY1jyLP85vTFMp4WKbYXJbYVLgovFTLlc-WKy9gZe5CLzP1EGfIxkhANdS9_RkacX63GaS34vCVA2Z5b&spc=l3OVKTLFfM_G7TgAgQE10jyChhWpxubyWiUc9mv3C-mtXPGhodk3W5X4ws7OVV3ohQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ZOgmhODyMLCYHLLsZqs-oMoQ&rqh=1&gir=yes&clen=1302197&ratebypass=yes&dur=17.600&lmt=1751367094517158&mt=1754600466&fvip=4&lmw=1&fexp=51548755%2C51557446&c=TVHTML5&sefc=1&txp=5430534&n=NCI_It5MCL5g2Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgMXMqFePQ0hkQ3164IqLUCUuk52PpRzl7YcJKKedAy90CIDbPhdya6WeByjD8XZSM5o7dbrYVieaJHD_C5th9RImi&sig=AJfQdSswRQIhAIgWxH_Qwvdk15BWNGXnJ2NMsnPic6cdGp89ATTg2beLAiAShcNMuKsYy5My0sTi3IkShsokB3Y196YlIuDC961ndA%3D%3D,Ordinary · Alex Warren,5K,157,@Lenscap9
실제 외국인들이 이용하는 한국 패키지여행,https://www.youtube.com/shorts/8c-5aLqYf6A,https://rr4---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1754622628&ei=RBaVaL7kCP-ypt8P_O_WyQU&ip=220.72.66.139&id=o-APIAxzQgW3Nx6D6mNbcT1EA2jTy8EN3ryhbdN2aRfb9e&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601028%2C&mh=kO&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguelnsr&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3701250&bui=AY1jyLN8ROM-cWoWHVqh37by2518fzpukFGXNH8rglDITeiGCCE0TgOBOLdNAPvBIzMh1BRvDd1lSRGY&spc=l3OVKU9jn4t5VW5b4FIPINT_gvlwywtxm6fWnEWmb-Pu8cTAFUfXswr2zstyIwW2mA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=RC0l1zOiz2oFvmA0DgWwVg0Q&rqh=1&gir=yes&clen=2351602&ratebypass=yes&dur=32.384&lmt=1752745151868436&mt=1754600466&fvip=4&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5400234&n=SGj9M2VmsWhNeg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgMiiLlBhJ2Ochlb5aYNUDF9IkyVIUXIiWZUqyUCafRogCIQDj6z1KYqjWPZImlukZPtsDxZov5YBCnr7-hzRjrGCqlA%3D%3D&sig=AJfQdSswRAIgW1TqkInjhit3aKkilvXYLUZlqfrTWbHMOXL5UnnBB90CICiljcXyYLeDBQhUTqAFVSfSvKgsiMxGqoBwjyj93nye,Gentle Reverie · Creable Music,11K,326,@웃고가
5 travel essentials that were a whole new world when I tried them out✨,https://www.youtube.com/shorts/EaYxSxa8yqU,https://rr3---sn-3u-bh2s6.googlevideo.com/videoplayback?expire=1754622628&ei=RBaVaK3xCOyM29gP0rzK4Qk&ip=220.72.66.139&id=o-AFRwm8t564WBHhbV22WaT0ln7TPXD0JRLgqR8bmU4VPu&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601028%2C&mh=Og&mm=31%2C26&mn=sn-3u-bh2s6%2Csn-oguesnd6&ms=au%2Conr&mv=m&mvi=3&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3852500&bui=AY1jyLOo2R-l5omHMhlHA3Ov4tXjKRk-8F8vYFEnpj412hVUZpFeAsa5hFwx04AHuYF1-gG4Zxf5gbfE&spc=l3OVKRSbaNUlKYL-bLeqJD6_Pj7Aku5jj3JzxUc-dmpMJglk9-GXPLq20OYrpactAg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=IgVpM2t0QNHwtTf9owcXVE8Q&rqh=1&gir=yes&clen=5022210&ratebypass=yes&dur=65.920&lmt=1754392807865977&mt=1754600466&fvip=2&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5430534&n=aeWfAPsPqA_RIg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAIZsof4owbzHaGeYxyOuUl1Wj-Sc6gYIgKdlq2vkLdBUAiBsuEVVwRmyg7HBObft0i_UXghd-9guTdrUA34h0_RJLQ%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAMEGbPn317UzZezxtnh-iHMns9EfLiLVPlci_OPgI4kvAiEAn1EjA0mbG5MrxxF_KjoDRObQ8ScL-4y0AWsbJGfMRUU%3D,,5K,360,@야무진
✨강민경이 생일여행에 챙겨간 찐템들?,https://www.youtube.com/shorts/dSLLLz4An-A,https://rr5---sn-3u-bh2zl.googlevideo.com/videoplayback?expire=1754622638&ei=ThaVaOCJONnppt8Pi6ShoQk&ip=220.72.66.139&id=o-ANlJBp24LMjrBFxt1PKWEmPZVg74fhFq88dsY3MW82hN&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601038%2C&mh=Am&mm=31%2C26&mn=sn-3u-bh2zl%2Csn-ogueln66&ms=au%2Conr&mv=m&mvi=5&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3768750&bui=AY1jyLNUc6QFzEmOqSWPRDJKSg7bngLvkDOuAvsa4ESL-rgzdothJ7ygjxxJ41yNQVdyQOobyqOyC8uU&spc=l3OVKUkNKJaoLF8U2rRNUWMkHJKO1ZySPpLPCfawtMQJ1LhGjs2dtrkD78huZzDGmg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=P4z2rRzoyhUrDttv84fSm6YQ&rqh=1&gir=yes&clen=2461057&ratebypass=yes&dur=32.917&lmt=1754395188309396&mt=1754600708&fvip=2&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5400234&n=P44J2IyZ5bzpjQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgfQq45tazBFMHeSbQAaoLhDQM3J0LdyFyJvhRHFtKkiUCIQDk-59MCA_UDfE2jilE7Iaj1DUN5uxcg-GwO-BDTmFzvw%3D%3D&sig=AJfQdSswRAIgYiZs8gZyWEVUGxGJ1tm49uiL-0kKdZCu3MlNdXD2FOwCIAhKJUG3bdrTvI-3Eo74wGDeUsbTnh13IeQ3nv0Ve77D,Radiant Bliss · Sonique Music,6K,180,@쇼핑중독1
#태국 #파타야 #여행 #동남아,https://www.youtube.com/shorts/_jmtoVF8_QE,https://rr3---sn-3u-bh2sl.googlevideo.com/videoplayback?expire=1754622641&ei=URaVaPSrLpqEpt8P8djSuA8&ip=220.72.66.139&id=o-AI-njGi3H4JF2oBKVuIAEUPyle9xDdQ3KY6TFoTqtxqB&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601041%2C&mh=tc&mm=31%2C26&mn=sn-3u-bh2sl%2Csn-ogul7n7s&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3767500&bui=AY1jyLObbHLcJe5Gy_cDGGz0kl6qJPEBAStYHvrCZJ-rzMNTt7RdNv5hTvVBnDpdKVCSdMYBKlclA7Ky&spc=l3OVKXe_QUBO4LXBrA_ZlqYo2nfMdZXH-5asQhoXp5WmgVq0BDEnol95Dfobt6qVzA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=8IXggBZxgRriehSxMdld8y4Q&rqh=1&cnr=14&ratebypass=yes&dur=33.343&lmt=1743429133366500&mt=1754600708&fvip=3&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5530534&n=UMLYqPDnwzQaew&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhANh6sisjPl9bQ93KNQWm-2eL-hakqV79kFrNo6u75NG3AiEAjfrbNlzWRoDLGV0tdFUC-E0buW4BpTN2AiLPc46NPv4%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAMPvsTWZYfM5IirmOuEtpRHw3dtXJNqky-oeiVwngMymAiAlU0DZMNGTdDNpDUY-2TWpbN-dgjKjB33-7jKWsexP1w%3D%3D,#태국,17K,497,@DONGNAMADDONGGAE
뉴욕여행 하루에 얼마 쓸까?,https://www.youtube.com/shorts/O7RqliKu9sI,https://rr8---sn-3u-bh2se.googlevideo.com/videoplayback?expire=1754622638&ei=ThaVaKSZMfDY1d8P9YzZwQ8&ip=220.72.66.139&id=o-AE5RBCWrx7RwgRxorVs1hgNmSAxizFE-nyJUTAvHQQS4&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601038%2C&mh=ec&mm=31%2C26&mn=sn-3u-bh2se%2Csn-oguelnzl&ms=au%2Conr&mv=m&mvi=8&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3265000&bui=AY1jyLOou-CTbrAlBdt0OWjt3-4EDOSU7InF2HOHllXTlNWjEbp1e9Y2E71HnsiCh673OExKjIydOEBo&spc=l3OVKTSosMgz4rVLIgEei9KmNviIuaDD-Q_ll8kyHhePSmMOkoFmFBM5PIu7Gv3bTg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=k3W-z5pkUUGIa2hSJ2TcR5MQ&rqh=1&gir=yes&clen=3331813&ratebypass=yes&dur=44.650&lmt=1744556112297984&mt=1754600708&fvip=2&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=4430534&n=-ViwhwJBGCqsMw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgem4xarHlcVbKod7dx1iPHjjIkpNeSFKLWkIiMbLd98wCIAqbj-U39_hTrDL1iaeT0bJ-D1gnQn6nrycKipoG0lv_&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgcLb4pLk76Z7gX2jVeHlIPr3Xk25YN0nMiBTJ26byJioCIBB8kyHc-S-59LgQt7XftMQmxRDJM9n1ts3HM8mZwACj,,8K,169,@yozo_haus
Wow Korea... 🇰🇷 #foreigner #foreignerreaction #koreatravel #foreignerinkorea #korea #seoul #south...,https://www.youtube.com/shorts/8Nv6h6sB9e0,https://rr3---sn-3u-bh2ze.googlevideo.com/videoplayback?expire=1754622647&ei=VxaVaMj6F82Mpt8P5_6uuAc&ip=220.72.66.139&id=o-AMTlKAaJwBh3UIUWIvO3ytjSZ8H5m5ST4uM7HXIO3Fgp&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601047%2C&mh=h6&mm=31%2C26&mn=sn-3u-bh2ze%2Csn-oguesndz&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4067500&bui=AY1jyLM5187d8-H_n-txZP-l8qHu5z95MRwcPc856nlrhlFQfA1XY5kspCumeM98CnAmzrcgOQRVJ4US&spc=l3OVKX7QlW8aYVoQPL0ME4H3r0SmKSavFG0v4kYZGQvyogpRaomAdFhV0xMsMdvgJg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=_T8pEXjTIULvq5zz5eX5wxoQ&rqh=1&gir=yes&clen=868769&ratebypass=yes&dur=11.754&lmt=1754207958609377&mt=1754600708&fvip=3&lmw=1&fexp=51548755%2C51557447&c=TVHTML5&sefc=1&txp=5430534&n=q6t5k4a8yRRLTQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgECDIldUTFDa3_T0VzChxTzpQOFBqonn6yNzrdfm8pqoCIQDOtlY-2ljDe8iR0MjM2YJa0G3x7sHGCQiIlGv5w9VyKQ%3D%3D&sig=AJfQdSswRQIhAPo88wEeXYLTq98FocsbfY_WsZk_-EwOwNqKWBD1vyURAiBN3v3nnYldjmfhNkFyFEfRQK-ZFDedNa9DyQk7BBrcDg%3D%3D,#foreigner,5K,159,@DinaTV-KoreanLife
휴양지를 잘 골라야 하는 이유,https://www.youtube.com/shorts/UsyuCMsLPs8,https://rr1---sn-3u-bh2se.googlevideo.com/videoplayback?expire=1754622641&ei=URaVaNORLq7N29gPqvTa4Qo&ip=220.72.66.139&id=o-AJyWAD2DDR211vdvUCl582FvI3YEvQpwlnvUROjWUpR9&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754601041%2C&mh=hz&mm=31%2C26&mn=sn-3u-bh2se%2Csn-ogul7n7k&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&pcm2=yes&initcwndbps=3265000&bui=AY1jyLNz_AKX7AC5J98eGvqxOl8M8GfAJs2kfJMhTipR8dmhwifjk2YRQG3CQgTA08BIicjvSzck1eXa&spc=l3OVKZRirD2uhunw2GMoFB_oyXYNvHv4IaXD2IycgoNOkOANaUIJIp2yO3j-wb4Z3A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=kW_xg-jK9qJMpi_m3VAFckkQ&rqh=1&cnr=14&ratebypass=yes&dur=35.340&lmt=1743294765569508&mt=1754600708&fvip=1&lmw=1&fexp=51548755&c=TVHTML5&sefc=1&txp=5530534&n=ZF5AxtLXSZRNyA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgNSVsjT_hC_s5srNzNwZkn1vr7QI8w_yowGlFua9M3ZcCIAu08FFQUcarDSBXVoe8nwAwDrRMREdv4GJauVvnh7Yk&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhALic9UHrOV622vmwq0VBAM0Q41gSAR7T4QcK-kX5s66QAiBWOoJHohFevivJxCQNDUnYBhgtObux9DxTUx03YGd5KA%3D%3D,,14K,660,@yongjjang1
