TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
발로란트 유저라면 누구든 반하는 상황,https://www.youtube.com/shorts/nyS2y4QbUJ8,https://rr2---sn-ab02a0nfpgxapox-bh2zs.googlevideo.com/videoplayback?expire=1756894273&ei=4b-3aN6hLJS1pt8P3vChsAI&ip=1.209.175.55&id=o-ABS_PfpDMupB2Arh7FLseAqgIJwbjIy_DRADECIZqPwK&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872673%2C&mh=Cd&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zs%2Csn-un57sn7y&ms=au%2Conr&mv=m&mvi=2&pl=24&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=5496250&bui=AY1jyLP6wqOMUbofrzpFEQVmmRrHnfufENrLLJnEAKtmajm0YPQBuV5DrFQanhECLHNZ4oflrjbcS_n3&spc=l3OVKS7CJHh54EAU32KptGBgaiNAMksD3txi-t-dgCc4NY9dFP5VQsIWvRBztwc0gg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=E4bb0NgywxMY4cQYAh__hNYQ&rqh=1&gir=yes&clen=873828&ratebypass=yes&dur=11.669&lmt=1725231226612004&mt=1756872074&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430434&n=doNlJV87G3ZqIg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAMMr9jLxTPuYU2xcWs6QTL4YG2ipUmSVVIAJahvSapOrAiAkzw-7i1CTblu3WcWDkRcTas7glxAlP6AzKzO56JutMA%3D%3D&sig=AJfQdSswRAIgNBFF-lNW7eXLgeW3lQ6RpHnPrub975KVIvLZ_f4xBrYCIH8PPNbmWPUF911i5H8kSsV17gTPfrkyriJI1cvDne1B,Dangerously · Charlie Puth,12K,675,@shoeba077
"해외에서 난리난 ""번지점프 킬"" 레전드😆 #발로란트 #레디언트 #해외영상",https://www.youtube.com/shorts/f_f0LwkjxyM,https://rr4---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756894275&ei=47-3aICJKLWEpt8P8JD9sAM&ip=1.209.175.55&id=o-AMrZe5hon6SqHJx9imXTAwpBYW7PmbE7-Sl66a4Ent_z&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872675%2C&mh=VQ&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=4&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5592500&bui=AY1jyLONuwXfn5UxagW_WsHz2IqU7U1bSJ1YUBGxapG7VyADijVw_63OxaSNamOknXujOVuTKNKDg9j1&spc=l3OVKdaQZvlUhaD1JBq9fe9UiusYBfJigVxRWFFekreZqvknKB8lVdL3ZlxRuQqPVA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=kw2n8ryrHeBU7wewGSLdvRcQ&rqh=1&gir=yes&clen=786164&ratebypass=yes&dur=10.432&lmt=1742339612240978&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=U9dBv4TxuSHdfA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAMvehydSXX44ljfDgZP1UwmjgFrXBCZvxvS48ceeJpxaAiAEKNuxMmJvSUUUUtiL8qjOPF6pUBe4YlJhcl-aEERCWw%3D%3D&sig=AJfQdSswRAIgGfdWuzN4eJQS8BSRmG5AIHubhLet-qkmM4cqHrZJbk8CIA-bl2BwBLBsbJK8gZds8UvCBJV9Npfk9gLEEhoJqi3G,#발로란트,17K,674,@valodykr
발로란트 둠브링어 전투도끼 리뷰,https://www.youtube.com/shorts/gneeQVWe8k0,https://rr4---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756894275&ei=47-3aLeUJ9qMpt8PxvnKwA8&ip=1.209.175.55&id=o-AFF3lTRttKUBCNvqxkdw_dwcjIzsZzGC6VrYbcd8omlo&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872675%2C&mh=JG&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57enez&ms=au%2Conr&mv=m&mvi=4&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5592500&bui=AY1jyLMY8Qj0brKAJTtQULke6F2eZU-41f1veBYx1XG4F8NUTlFJKTFhMjIrJ44eu-ZepFieG0bs_5rW&spc=l3OVKWikS4zdFMqi9KxOcL7wRm2e4LL47zYO5Jc78DfW7bgaKgPqDk9ffikrpPECMg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=RV36J9LdGwd-m8W6IfBJGgsQ&rqh=1&gir=yes&clen=3334310&ratebypass=yes&dur=43.370&lmt=1733449777542966&mt=1756872074&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430434&n=f9mY6wzDYTcQfg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgShWtchO3YblBuSy4-HxUY-l7KpEjNm0euepfbPsMQHYCIG-Le51B86TQFDtu2FVCp8TRSpIul0v6mzjC2FzBAYI8&sig=AJfQdSswRQIgMF7EFWAeefFNvI34EumJjXCquL7MOiWeQpETfarlzksCIQCqT5ZrsaJy7YZF8SIYprGixeZwoksBYJFM6_XSBEkQSA%3D%3D,Sweet Peach · AuroraSound,12K,191,@재능충아재
'발로란트'에서 'YOUR IDOL' 부른다면? | 초깨비,https://www.youtube.com/shorts/0vjKZ2451sg,https://rr6---sn-ab02a0nfpgxapox-bh2ed.googlevideo.com/videoplayback?expire=1756894275&ei=47-3aKyXM7-R1d8Pktvk6AI&ip=1.209.175.55&id=o-AJrUCupxrhMrRpZeDRFzvM8OUXKcBOlLMzMY_xnUALId&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872675%2C&mh=43&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2ed%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=6&pl=24&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=4445000&bui=AY1jyLMe0dJ3hZYK0bypTWLKgzj5IBQjiKwtQU6g8v2cDQS9AYmV4d1ZAqt-ju-L53vEaI73d_bPLLMD&spc=l3OVKUVgjnGRpqwGsAX_Fg9WkTlbF1uNNhaTmRkoAroPqbOEsM32KJfterCZt0EXTw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=BGxeTaMymw-GSV_MAJ8c_A4Q&rqh=1&gir=yes&clen=4559321&ratebypass=yes&dur=59.733&lmt=1753874237178897&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=tgwcKKv3XA_IIw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhALID41o1rwbnze4XdFXGMlaCbLkjIHYv1ZTS_mu1YrD9AiEA7iOZfBoHzmdmXCSrppAB-1sZJ1n85tyYDtuaXMAzIz0%3D&sig=AJfQdSswRgIhAPkxS48yTo-zhrBRf9h-7_hLUZn-5lph9BLhbulbBe_ZAiEA1i5llPMtmS5fuZquzEfHl-671cnANAEK_ghMwXP1fuw%3D,"Your Idol · Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",3K,947,@초깨비
발로란트 대회에서 나온 역대급 관객,https://www.youtube.com/shorts/KkCgtTflN0M,https://rr6---sn-ab02a0nfpgxapox-bh2s6.googlevideo.com/videoplayback?expire=1756894273&ei=4b-3aKjqKr_Apt8PmcKayQ0&ip=1.209.175.55&id=o-ALWVit9vuM8H3fzwUgP02uPXYuCiMRpZomy_5RX1phal&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872673%2C&mh=vx&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2s6%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=6&pl=24&rms=au%2Cau&ctier=L&initcwndbps=4183750&bui=AY1jyLM66BUCfLFxl0CKBxQVhhemafc4E8sjYyXsz5GLgqGtXaaq3XEHaqCZprVNpDw7qoQ9KS3R4cYl&spc=l3OVKafRVNzFO21kD_eXcwWaEkJMcYyMW-T8uObf-Kjwjg-tinxwAN3OGIdLSD2TMQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=t7Qca_Yck_jrxjZhMySwERgQ&rqh=1&gir=yes&clen=1346614&ratebypass=yes&dur=18.048&lmt=1755997470212097&mt=1756872074&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=3Go4X07kpaFLVw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgMnYLJ7A41lCGLCd-O1-tB-VcS1OmW47LuSsEXRmpapQCIF23VmB2Hlve_k9ZY1A9f-Ep4V9rc7uJH997byGF1RF_&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgH_HtEvFgsanKy1B3Fua6y-QCL0-Oe7v8HWIzVmJIvMUCIBI4WDKB82cVdrU_lNtB0zhGpMj8RoKsdkUPimBxq4hN,,2K,37,@주평_유튜브
[발로란트] 발로란트 개꿀 자리 ‘10초’만에 알려드림! (1편) #발로란트 #발로 #네온 #요루 #valorant,https://www.youtube.com/shorts/ZO9-pEY8KCc,https://rr7---sn-ab02a0nfpgxapox-bh2e6.googlevideo.com/videoplayback?expire=1756894282&ei=6r-3aL66Fuizpt8Po8fNiQo&ip=1.209.175.55&id=o-ANkZYKDhtp0YOSfyhk4-ZbRx7FikGiD0Z2Z3LTMHqQT_&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872682%2C&mh=yJ&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2e6%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=7&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5336250&bui=AY1jyLOoiTPc4-bNfVFP4DQMGteCnRgtndVPjq9w8NcP5S5UgW6-LLYZXpk3ihQXppcSTQ9ozhA87rCX&spc=l3OVKcdKYvfcPczCilEA7Dy9sfuMNV8O8AHaAJFXgdGfRRJDTDTB-TZ1Aze1rq8Nsg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=mNTFCQUwQKtX-CqiMcWexNEQ&rqh=1&gir=yes&clen=1377980&ratebypass=yes&dur=18.474&lmt=1750327148964691&mt=1756872074&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=dEOrm0OlnMOvHw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAPpjm3rq5c2J_-jmGIQkpcByDnzj-KNqPLV-y_GHrc2HAiEA6zLIQ3HUehOGHba4NPnPtaJaSRzg29dwhQ5Ztpsiv0g%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgWYMUrE817sgxDfhWTbKTE-5kfN4pROaQ-Jr7IA_lpO4CIQDLRhr2v7m_LlOYVvKbE0OZZ-lshF_9OlkpE1yryZvFog%3D%3D,#발로란트,14K,777,@FreeDomWe
오늘의 상점 레전드 갱신 #valorant,https://www.youtube.com/shorts/aXdMpscX3Uk,https://rr1---sn-ab02a0nfpgxapox-bh2zs.googlevideo.com/videoplayback?expire=1756894284&ei=7L-3aICGDaCZpt8P1fTH2Qw&ip=1.209.175.55&id=o-AER4kk2ugbaEir_e4wnizuC2wSB2SppmGKyvzGBriBun&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872684%2C&mh=iW&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zs%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5496250&bui=AY1jyLMd_hWz8KPJsrAkOSOmxzmdjizlAHix682_BnYD-z8b9EBSpSRy3XGDJN0P21Dn9mDvz4_1gVn_&spc=l3OVKSLuMGfRdkZQqZfQF04nIAQ7MPseUqQ_nLmmM9qwvece8QVkrS-U5EIiNqo4Lw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=kvZrw5-hpBzkx9qwAkSOZzwQ&rqh=1&gir=yes&clen=781370&ratebypass=yes&dur=10.346&lmt=1743805660888150&mt=1756872074&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=NdBMpxmqU0kNWw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAOJNZ8nB_ufsm4SXcjRzlRZNDk7kSdX0o0OMhEsj6ZrrAiAq58ySgacjPSZvnP4935DsemtPMGuNRG8ONiOYkZeUVg%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgYMXK1b1n2BugiAd9o4wv4Zec45_8yfn2iDdpX5a8dT4CIQD8rAh9cRIzKK9YNvE-UH586BO2fPEc6cj3trTH9QDVtg%3D%3D,#valorant,2K,12,@올스킨it
【발로란트】 오빠 사실 안 미안해,https://www.youtube.com/shorts/_nzDc0cIKBs,https://rr7---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756894287&ei=77-3aJjSLK2YvcAPy-CP2Aw&ip=1.209.175.55&id=o-ACxYI2gO3S15i_8nj7dRDfMxD-9_8hkQI_K2vJGwu_CZ&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872687%2C&mh=Bj&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=7&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6277500&bui=AY1jyLOxu0vW0wqf90PR9aPeOdm6KXBshXFmBJR8I2u98jEpN00phuaODg8Ne8V4bkyBvl4gIUL8P0vv&spc=l3OVKbmZv0RwkYukwjMQNdPPnZRv8gZapAap8YYt7xJmgFWJLPbhaRtI39UDKRtdDw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=aoAmqtcxIKmnSGChva79U1YQ&rqh=1&gir=yes&clen=2394372&ratebypass=yes&dur=31.829&lmt=1756206234036976&mt=1756872074&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=iGtqPF17Ch68_Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAIffD9hLW2wAixPCNcC1C1BRS16DSmTjeE9fjAdcLkh9AiEA03We4Eq6aCaNJyGeUIx42axRK3SYeO0Zc8-zu7oSXGs%3D&sig=AJfQdSswRgIhAOdLDXJ9_YGSnCRIvw5_ATZJgEbydV2eoUh_jwVPcdQ1AiEA6B-WcywnCiNespQ029TMQbQCEQUxxDecVMtWvDye26U%3D,Groove On · VML,8K,548,@빗시
이번 2025 챔피언스 세트를 무조건 사야하는 이유,https://www.youtube.com/shorts/6P79wB6aCVc,https://rr1---sn-ab02a0nfpgxapox-bh2z6.googlevideo.com/videoplayback?expire=1756894289&ei=8b-3aNGwG5GS1d8PzuH5uAM&ip=1.209.175.55&id=o-AHLcBDzZgMG3D56Xadc7aY0eaL8h7-9RVvGtL8l8VcYx&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872689%2C&mh=Hq&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2z6%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5523750&bui=AY1jyLNIv5SFn7BJaGRvj0yphzas_oE1QAzpHvTTUYIFR1N8FnepR5TCm8o2gF0nzFBamUa0ibdfRWXj&spc=l3OVKV6nrzUDj5xJA_msQ0bj3oTB_jEwrzBmPS6GIK_6QONH6IpwYAcGZ6MKNHZPow&vprv=1&svpuc=1&mime=video%2Fmp4&ns=wp4CQEFkOgQLVg1yHl4QtkgQ&rqh=1&gir=yes&clen=1054661&ratebypass=yes&dur=14.144&lmt=1756611415655997&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=FuCfJmJReu0_Vw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgKPKmzIh1LOPj1gJHD1FDP1FPOw2ySZDxuc59Kgr6q7ECIDwVR27quZtuQI-_MROr6-RtiSuUmeXJVTUm4NfhwWxe&sig=AJfQdSswRQIgIWIGnJsFQFgWynZYs2au2VmSL68aguBojkBGQKYeneICIQDgKb-IKHzEWJJHDxE5rLRUctH3iGBfA2xLPwtkbajxfg%3D%3D,Seve (Slow Version) · Tez Cadey,13K,560,@hanseol_official
Valorant Jett Minecart,https://www.youtube.com/shorts/4OXaUIsW3nY,https://rr2---sn-ab02a0nfpgxapox-bh2s6.googlevideo.com/videoplayback?expire=1756894283&ei=67-3aN7tO7Kqpt8PxPjkgAM&ip=1.209.175.55&id=o-ABsGcRX-dfR9bYO317nMOlcILMvawIGz96R8RDGAtaw_&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756872683%2C&mh=HI&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2s6%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=2&pl=24&rms=au%2Cau&ctier=L&pcm2=no&initcwndbps=4183750&bui=AY1jyLMl9KWaL2eHcb_sL264Bm2CwCqfG2I9P-SbEgP_xfacZlL4G6TBKWwcvxIZgTy6JPpNH6rQLEIY&spc=l3OVKY3GZgssWcO7w8W41k34W203e8-a3_69BHRykG9yNcqE4qrAfHz6kOFeLiBTkw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=6BeSb8QIWsGQory47SyKt8IQ&rqh=1&gir=yes&clen=1081381&ratebypass=yes&dur=14.485&lmt=1753428527349981&mt=1756872074&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=mLb3o9gCwHdB6Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAKS17fbfTtDPXpvTz8cqIwGfIj92oIO7KiUwtfMszT0gAiEA2Jh96B-Cw7V9skIbv81cCVCU6QNaCJJ2pGzeliwDGGM%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAI1k4b_fkio60qfDnIwPqJEfirLhHWz6UoBnneZR5W4rAiEAkECqWkh454xqkYZgSY-ai7GQEKBoKQsqbdqQH6vluC4%3D,,12K,821,@FakeValorant1
