TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
다현씨 안 무서우세요...? 미스테리 박스 갖고 노는 트와이스 다현 by W Korea #트와이스 #twice #다현 #트와이스다현 #진영 #그시절우리가좋아했던소녀,https://www.youtube.com/shorts/LOyNbbNl4hs,https://rr2---sn-3u-bh2ze.googlevideo.com/videoplayback?expire=1754241487&ei=b0WPaOjTF-OY1d8P5-qZ6Qw&ip=220.72.66.139&id=o-AJ8SIgevk2Z8o49DP4r-E_bxFlmBAu44svEWKoLtDH63&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219887%2C&mh=Ey&mm=31%2C26&mn=sn-3u-bh2ze%2Csn-oguelnzy&ms=au%2Conr&mv=m&mvi=2&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4010000&bui=AY1jyLO0W1kVgXh-pPjQ8B4Hnr_y33auJqOuiVT1TGAfAiP-BM3LBkP7brjsuzg4ecEPBRz3oIN6AswI&spc=l3OVKfQJ3c1CdXZ87FSsoldBKP6o84CBgwEF8YHg5kbMM4EQOGbaLOJLOsH2W33N1w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=flGr_d-vPDFr18A5TsBK3pkQ&rqh=1&gir=yes&clen=694135&ratebypass=yes&dur=21.362&lmt=1742390680801100&mt=1754219365&fvip=2&lmw=1&c=TVHTML5&sefc=1&txp=6300224&n=cKI5ONHXEoTtXA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgG3shsUThfo3zDkqi-NeM72TvSsBfNKQOQ5k6-1mTpQkCIQDw21HZsSlX7RV_rlZ7b1mdjMcSymXzP6xoSqnUv6lwyg%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgce8RxfxEDGoTM0qJsplCd63feBFlZTxz2b8G3e-SYI0CIQDPCpsHGUYXzxTC364GrcjEChI7vwSb7VvpNjzkUDt8lw%3D%3D,#트와이스,3K,968,@wkorea
화면이랑 너무 다른 다현 실물현장 후기(TWICE DAHYUN),https://www.youtube.com/shorts/mFtK-JcYvho,https://rr4---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1754241489&ei=cUWPaPyzHPfo29gPsa2BqA0&ip=220.72.66.139&id=o-AK9rLVQ_h4aS41DaRlZsRs4Bv0i1J88mYd3DVvuhy7Nc&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219889%2C&mh=IP&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesnde&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3993750&bui=AY1jyLOViDl51MjQFrZMoDwT_xXosfI7aqLlv1OM-N0cer6ZUuXCdsK0NlrnnNnzXHXd-QYJKDQ5TEqd&spc=l3OVKfwz39vxyQkkXTcs1bVrwUAdQJXMWGdC2BoVTWdwm3gCtl7ymzUpZr0VK5aIBQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=NHwdZAv6wxr-lzx3j1S893EQ&rqh=1&cnr=14&ratebypass=yes&dur=60.046&lmt=1750989246302808&mt=1754219365&fvip=1&lmw=1&c=TVHTML5&sefc=1&txp=4430534&n=jqKF7wRLiEdtSA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgZzdv9UEpoIzBUjv8tyvOB5Xh2RQphjHePnGcJRw3ZGQCIQCPEFmeBHWhkPGC6_fgmJpDSvmIMtIa1i1QEZXPKIXh0A%3D%3D&sig=AJfQdSswRgIhAJgWb4JKuHz0x197tPxJC3rIuVWBLT63SE5ZET1_CB3aAiEA4u3BsW41Lva29rzCq92vyvcFUt13Cx8GCysr0wnDoF0%3D,greenary spring · Sound Rabbit,12K,858,@모두의신
[트와이스] 다현과 미나가 술을 마시지 않는 이유,https://www.youtube.com/shorts/C85uoEcWTuA,https://rr6---sn-3u-bh2lr.googlevideo.com/videoplayback?expire=1754241487&ei=b0WPaMXcIPaN1d8Pu_TckAc&ip=220.72.66.139&id=o-APlWh4cirIDxYOIdlg8ZS4hPvNZ-sNOwA0DP8dkAvyMj&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219887%2C&mh=bo&mm=31%2C26&mn=sn-3u-bh2lr%2Csn-oguelnz7&ms=au%2Conr&mv=m&mvi=6&pl=19&rms=au%2Cau&ctier=L&pcm2=yes&initcwndbps=3901250&bui=AY1jyLMh7zNF0kZyZG5i67r04LH3Wb3uZ5g-JS7tpSHv4VJFKlKfr0Jt2WJStdmMX4vrc1uYouvWgEWC&spc=l3OVKeeUbOLnAhi5nOvIqSZJD3I5HygtZIu07CeoNDwouYzbdUZ69jto4dPyc6rOJg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=8rYDPpPg2GfQdY1dupEFjlUQ&rqh=1&gir=yes&clen=3221236&ratebypass=yes&dur=43.050&lmt=1735373840980930&mt=1754219597&fvip=5&lmw=1&c=TVHTML5&sefc=1&txp=5430434&n=73vUhdn50iysHg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAOBbvPSAfSGxdCjqHAvFWbFvDqtQgH1L4_EJLbIXE3AjAiBFeFM51-_tirJ7wg4RpBISvbKzgpc_MJ1LIzs2kkljWw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAIr31ATkqKBDIJEx-NYkT_TNBBBisjGEFkNnb53PC357AiBVwvHFbjmmQIvZ9BwGARGFV60-UPfwBsutYsi_8_tEHQ%3D%3D,,13K,151,@CCSTWICE
The exact SAME thing 😲‼️ #TWICE #트와이스 #THISISFOR #MOMO #모모 #DAHYUN #다현,https://www.youtube.com/shorts/lXqbVxfj0nw,https://rr4---sn-3u-bh2sy.googlevideo.com/videoplayback?expire=1754241495&ei=d0WPaOOnBJaJ29gPu_qj6Q8&ip=220.72.66.139&id=o-ALbO-U97-IWHTMXJ7bW98N6BEtiIn0nNhVgKAumDb8Z_&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219895%2C&mh=yL&mm=31%2C26&mn=sn-3u-bh2sy%2Csn-oguelnzs&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3778750&bui=AY1jyLOR8IB-AC8DHZcBTMuoHhgFGFIvqepMG0fuUudQWr1FFVfbI8jG6YZaSt1rUc7lq_-0hL4ken3F&spc=l3OVKZc4GLNV3AVOxicTikK9EbPh67VHI7uD74NVXLgR622LhXNwPFWTI_fEY9gaNQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=F0ZWOMVjU6cQdsdD1U4IrpYQ&rqh=1&gir=yes&clen=874698&ratebypass=yes&dur=11.754&lmt=1752469919522409&mt=1754219365&fvip=3&lmw=1&c=TVHTML5&sefc=1&txp=5430534&n=R4VFHu5LTYRF-Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAN9xZdWAF1iJk5uxbdZiHdff8ZnC8SneLvyO0E7-C2A9AiAwEfwJvjVEpZcJxPTcXBspwmfu-Ga_d1aGKzz68ShKYA%3D%3D&sig=AJfQdSswRQIhAID25vZek4yL8Mz93g1C8Ktz7pgTfrukY26kmpq21XUEAiBshlQydv87t0n1oPTr-p6jlTI_faD4YJLnkVMVJy2amw%3D%3D,#TWICE,16K,68,@TWICE
in our matching sweats #트와이스 #TWICE #모모 #MOMO #지효 #JIHYO #다현 #DAHYUN #쯔위 #TZUYU,https://www.youtube.com/shorts/DCq7FpNXnTs,https://rr8---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1754241489&ei=cUWPaIGwHoTCpt8Pk4yNuQY&ip=220.72.66.139&id=o-AMDdSV7GpyLNiitZvAWNXHVBQBmA2fHLJd9Napt-6NXi&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219889%2C&mh=PY&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguelner&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4078750&bui=AY1jyLPpJFN7bw4lydGnoZJNtXRS8pC9GMm7W8CP-uEPzb_r_PSMSJwbpvSXr3zvHDWdTsPMBo_KGRqt&spc=l3OVKfqyUrS-GJKZUXrJASSENVmL3RKM49iVVIMqd8HxRFZ8KCU7kjCaXHO9tc9H8A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=V2eA9cLrZUJnZn9iQ9UGSx4Q&rqh=1&cnr=14&ratebypass=yes&dur=9.984&lmt=1747346882164985&mt=1754219365&fvip=5&lmw=1&c=TVHTML5&sefc=1&txp=5530534&n=uMTipYHB2zeFsg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgSDo3RZKgAvQxXSTEB50oJXEBWdy1j1QfNredtW-ZlvYCIQCOWDyAJ0Z_fHz3lnBpjonXA5lA8CecbhxrDdMc5tf8Rw%3D%3D&sig=AJfQdSswRAIgH0wr0G9Q-kxr9oixWYkmgmfAsmvPBqM7TkggsHmKBioCICkPEsN3kWy-nOaYzkqQDLphToAvW_NL_NxoFLmHC84-,,20K,398,@TWICE
[트와이스] 팬이 아니면 잘 모를 다현의 실제 성격,https://www.youtube.com/shorts/KOadDyyyPQg,https://rr6---sn-3u-bh2sz.googlevideo.com/videoplayback?expire=1754241489&ei=cUWPaPbaHsCH29gPxJjVsAY&ip=220.72.66.139&id=o-AEdrK_ITTwi7g0asN2gWJkltERl6LI2akFaS31g5S4HY&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219889%2C&mh=H4&mm=31%2C26&mn=sn-3u-bh2sz%2Csn-oguelney&ms=au%2Conr&mv=m&mvi=6&pl=19&rms=au%2Cau&ctier=L&pcm2=no&initcwndbps=4130000&bui=AY1jyLM8gGCeorNe1QpTJdd7AVM_Qk0Q2tTvCvDdyvWSdzFxJGQsSPPNONjTsav-d0V26MqAC9TSeC7s&spc=l3OVKWnCeIiJFQBRKTh8T-OYqS3C8-3ROViGv8UkCLkm4O23X6NiNX3eXlcbVxE3Ww&vprv=1&svpuc=1&mime=video%2Fmp4&ns=j_uUi0sZNeBYNgE_EZHgd_4Q&rqh=1&gir=yes&clen=2734113&ratebypass=yes&dur=36.714&lmt=1736629573104797&mt=1754219365&fvip=1&lmw=1&c=TVHTML5&sefc=1&txp=5530534&n=1JEhA8FSDP6hvg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAIcHZLsRUEM8CkWlJqfIpH2E_9UkOwYUrHz2DNo3Ku1AAiA3AkM2CjujgE4GS2Smwxc_anDDju6HfcGvYAgUvrmxtw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgTMSFXXze_ax-W9CqoyQHU-53o-8FgWxjCS0ZVFegQBMCIBmXemWozS5F6pgu5qg3cTr4oTzw1HGms5C3okezpG-W,,10K,385,@CCSTWICE
#필릭스 의 #특챌린지 #S_Class_Challenge ✨ w/ #TWICE #트와이스 #DAHYUN #다현 선배님!🍭 #StrayKids #스트레이키즈 #Felix,https://www.youtube.com/shorts/zVneES4ipy4,https://rr5---sn-3u-bh2zl.googlevideo.com/videoplayback?expire=1754241501&ei=fUWPaJbONaqH29gPqOqB4QQ&ip=220.72.66.139&id=o-ALN8oYbBb8mU4LVWtYlj1v-ILQw2TJS2baN4gApH8sMA&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219901%2C&mh=Xe&mm=31%2C26&mn=sn-3u-bh2zl%2Csn-oguelnss&ms=au%2Conr&mv=m&mvi=5&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3720000&bui=AY1jyLP_VkFXHqMsXxEpUxR42ZrT_5bJaQz042oHHJUtI2uRCsFHwnsyM0ozRluU6joQdcly6-GPn232&spc=l3OVKW2YHs7N6Qt86MB1Q0OBkfzpolQUI1-yhOTiB88IwrQIMXJbWxoLXdflsgsSMw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=r8Nk6bs3PUAeGW6zLmIsAwwQ&rqh=1&cnr=14&ratebypass=yes&dur=25.867&lmt=1726251924772914&mt=1754219365&fvip=4&lmw=1&c=TVHTML5&sefc=1&txp=5530434&n=qljCuwa2Y57k1w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhANDNgQD1WYSJN0BBBkJtxFuA75vXDgDxUwp4anSz5V6fAiAc4u6ln3q-oiinxSHPDH6Y-LNVZX3PkW9e-_TT7Y5SWg%3D%3D&sig=AJfQdSswRQIhAOqrQojTLA-lNf73UA5vb3ZhkqvVpWr8fkbCKim5Z-3RAiAn7I08jYthPgXh45VZ7qRopO2Vd4tYOPYENg1alZShZQ%3D%3D,#필릭스,5K,410,@StrayKids
[TWICE] 다현 피부가 하얀 이유,https://www.youtube.com/shorts/mYhPN7OajRU,https://rr3---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1754241498&ei=ekWPaPbsIO3D-dIP_rKCoAk&ip=220.72.66.139&id=o-AO-JQDqGMEZzWrPNARur-hBquDmFVrgmCHNp0E4uQ2vL&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219898%2C&mh=96&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguelnzs&ms=au%2Conr&mv=m&mvi=3&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3993750&bui=AY1jyLM0yUWW0SsyY3cXkUVUuyODpoKPMBkMLMANS5AiIqu9Hp0wvAziDeCFO97o3b5mhXiR194PtynL&spc=l3OVKYoF8FoTl_FDcaUfsaFw4VdGRPwFVGX4ZGnqMDpQWkX5fym34rMNbZhknURG-Q&vprv=1&svpuc=1&mime=video%2Fmp4&ns=rvL5u-_V83eqJiXJaZvStvUQ&rqh=1&gir=yes&clen=3237779&ratebypass=yes&dur=43.285&lmt=1753604581054349&mt=1754219365&fvip=1&lmw=1&c=TVHTML5&sefc=1&txp=4430534&n=hjsu8d0ScOCjqQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgapdFTDM9bHPzVFK15IVgogbQVPCyqo_4uAlnETSIkEMCIQDYO40X6EPgo6uAmY-zNy-f1qsm3vSnsCnxFFJ2GeIQfA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgcevJiQ51cTXds61zyPvZvnyz3LDPGIxslexo9pznv4gCIQDf4WvG7dJT9nWD8aijBoxE3H6hV1QchKk06axYVlGs1Q%3D%3D,,20K,26,@TRAIAN_
"CHESS, not checkers ♟️ #DAHYUN #TWICE #트와이스 #THISISFOR #다현",https://www.youtube.com/shorts/mW8OxZhbNq0,https://rr3---sn-3u-bh2lr.googlevideo.com/videoplayback?expire=1754241504&ei=gEWPaN9R1J7b2A-ojfmACQ&ip=220.72.66.139&id=o-AIWtA8Um0PLjKLtKEUZ1hKwqE17t3okWLFxEIVbGs3T2&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219904%2C&mh=PA&mm=31%2C26&mn=sn-3u-bh2lr%2Csn-oguesn6r&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&pcm2=no&initcwndbps=3915000&bui=AY1jyLNGmnC3uBhneUYxrdbNo1zUXhReCP4yWuM3YzwXC7geCAZdtm6b0hwPM5sZEOAKwPCU0EOLTHIb&spc=l3OVKXYnoEkD4roZZ7khj6pKfGdo_6gt6JHfzO-wR6bxH3PXcIMkbjFfLlFv1hTbiA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=477_SU16ZZ5nA1HnI-CKUHIQ&rqh=1&gir=yes&clen=1268504&ratebypass=yes&dur=16.938&lmt=1752729862855237&mt=1754219365&fvip=4&lmw=1&c=TVHTML5&sefc=1&txp=5400234&n=MaShXbm349Uymg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgAbSEpVzIpXFnI4gGrsoq61OSkuSjoFqhP5fPDR83pNkCIBUKUXL-SMvYeBhi3vwp58-Kmd2CRHXRh4bcZTzXoeWn&sig=AJfQdSswRQIhAOOXwKzg83Hj6QusYdjJppLbuZRDHLlRTkG71qbvUnrDAiAi6k8tOlsLUZg08PETXmq_NmiEIPLd1IbPXT8VTQBz7g%3D%3D,#DAHYUN,19K,183,@TWICE
‘소속사도 당황한’ 여돌들의 특이한 재능들,https://www.youtube.com/shorts/dMLUlmgkd3E,https://rr1---sn-3u-bh2ly.googlevideo.com/videoplayback?expire=1754241503&ei=f0WPaLebB9eI29gP-PbyiQI&ip=220.72.66.139&id=o-AB4a7mKEI85pWt_O7cZJsQhwPSsuQ7YotfjE4kNqBnKE&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1754219903%2C&mh=ob&mm=31%2C26&mn=sn-3u-bh2ly%2Csn-oguelnlz&ms=au%2Conr&mv=m&mvi=1&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3850000&bui=AY1jyLOnUdDmw7ATeQEffS2mW40OZsss5PXVRgTiN8XvDEhNFTk2N0Bcvlx2aZ1q2RR3X471k_j21UEi&spc=l3OVKSTZieqyliWRXSg6bfi-tDYW6KI8Bf4AKsUTFTFIE5Dy4J9xqdEyn6sWDhazig&vprv=1&svpuc=1&mime=video%2Fmp4&ns=F5W2pVJC_KP-3k2G7dO0_CoQ&rqh=1&gir=yes&clen=2984139&ratebypass=yes&dur=39.850&lmt=1748296620784510&mt=1754219597&fvip=2&lmw=1&c=TVHTML5&sefc=1&txp=4430534&n=pLAZtVh7ylMzkw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgE086765CEd3RNf6r93gLbPPuBCD0nVO3VkuDTvYuxmcCIHmek71mlaAVfiBxRPuKf9daB4gBHb3DuXjYxdx79oGZ&sig=AJfQdSswRAIgT9BlPNC7eK0SE5PyKjNJgBt5Jdhi6Yafo8bDh5nu9hsCICk7KcwyvpTEJKDP-aC7Z0Z2UUb8g4cYJw81nO4y1GEn,,2K,934,@tamjeongcat
